"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (dvd)","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"100",,"Gloria Gaynor, Betsy Schechter, Betsy Schechter","Betsy Schechter","Fathom Events","Documentary, Biography, Music","English","Betsy Schechter, David Zieff, Kieran Healy","Storyville Entertainment",,,,"Feb 13 2024, limited",,"1h 39m",,"Gloria Gaynor: I Will Survive is the story of a Disco legend who, for five decades, has inspired millions with her words I WILL SURVIVE, but only understood the lyrics when she hit rock bottom at age 65 -- the film is about reinvention, the power of faith and a magnificent second act.","Gloria Gaynor: I Will Survive","100","https://www.rottentomatoes.com/m/gloria_gaynor_i_will_survive",,
,"",,"Sophie McIntosh, Will Attenborough, Jeremias Amoore","Claudio Fäh","RLJE Films","Action, Adventure, Mystery & thriller","English","Will Clarke, Molly Conners, Annalise Davis, Andy Mayson, Mike Runagall","Altitude Film Entertainment, Ingenious Media","R (Bloody/Grisly Images|Language)",,"Feb 16 2024","Feb 16 2024, limited",,"1h 30m",,"Ava (Sophie McIntosh), the daughter of the Governor of California, is hoping for a peaceful getaway with friends in the resort town of Cabo, Mexico -- with her faithful minder Brandon (Colm Meaney) in tow. But when the plane crashes in the Pacific Ocean and comes to rest on the edge of an underwater ravine, Ava and a handful of survivors are trapped in the airlocked cabin. Against the odds, Ava must fend for herself, contend with bloodthirsty sharks, and find the courage to step up and lead the crash survivors to safety.","No Way Up","22","https://www.rottentomatoes.com/m/no_way_up_2023",,"Andy Mayson"
,"99",,"Jonathan Roumie, Shahar Isaac, Elizabeth Tabish","Dallas Jenkins","Fathom Events","Drama, Faith & spirituality, History","English",,,,,,"Feb 15 2024, limited",,"3h 25m",,"Religious leaders begin plotting with an improbable ally -- their Roman oppressors -- as they face the reality of Jesus' growing influence.","The Chosen: Season 4 - Episodes 4-6","","https://www.rottentomatoes.com/m/the_chosen_season_4_episodes_4_6",,"Dallas Jenkins, Ryan Swanson"
"Scope (2.35:1) 70mm","65",,"Kyle MacLachlan, Sting, Francesca Annis","David Lynch","Universal Pictures","Sci-fi, Adventure","English","Raffaella De Laurentiis","Universal Pictures, Estudios Churubusco Azteca S.A., DeLaurentiis Productions","PG-13",,"Oct 1 2014","Dec 14 1984, wide","Feb 18 2024","2h 17m","Dolby Stereo Magnetic Stereo 6 Track, Surround, Stereo","The long-awaited film version of Frank Herbert's classic science fiction epic, Dune, explodes on the screen with dazzling special effects, unforgettable images, and powerful performances. The saga of intergalactic warrior Paul Atreides (Kyle MacLachlan) and his messianic rise to leadership features an all-star cast, including Jose Ferrer, Max Von Sydow, Oscar® winner Linda Hunt and rock legend, Sting. This monumental Dino DeLaurentiis presentation is directed by David Lynch (The Elephant Man, Eraserhead), with photography by Academy Award® winner Freddie Francis, music by Grammy® winner Toto, and incredible monster creation by E.T.'s Carlo Rambaldi. Visit an unbelievable world beyond time and space and experience the ultimate adventure that goes beyond the imagination.","Dune","37","https://www.rottentomatoes.com/m/dune_1984",,"Frank Herbert, David Lynch"
"Scope (2.35:1)","43","$6.6M","Ariana DeBose, John Gallagher Jr., Chris Messina","Gabriela Cowperthwaite","Bleecker Street","Sci-fi, Mystery & thriller, Action, Drama","English","Mickey Liddell, Pete Shilaimon","LD Entertainment","R (Some Violence and Language)",,"Feb 6 2024","Jan 19 2024, wide",,"1h 35m","Dolby Atmos","Tensions flare in the near future aboard the International Space Station as a worldwide conflict breaks out on Earth. Reeling from this, the astronauts receive orders from the ground: take control of the station by any means necessary.","I.S.S.","62","https://www.rottentomatoes.com/m/iss",,"Nick Shafir"
,"100","$56.9K","Naíma Sentíes, Montserrat Marañón, Marisol Gasé","Lila Avilés","Sideshow / Janus Films","Drama","Spanish","Louise Riousse, Lila Avilés, Tatiana Graullera","Canibal Networks",,,,"Jan 26 2024, limited",,"1h 35m",,"In a bustling Mexican household, seven-year-old Sol is swept up in a whirlwind of preparations for the birthday party for her father, Tona, led by her mother, aunts and other relatives. As the day goes on, building to an event both anticipated and dreaded, Sol begins to understand the gravity of the celebration this year and watches as her family does the same. This poignant and emotionally expansive film from Lila Avilés (The Chambermaid) cements her skill at directing dynamic ensemble performances in her stunning sophomore effort.","Tótem","97","https://www.rottentomatoes.com/m/totem_2023",,"Lila Avilés"
,"89","$11.0K","Jasen Wade, Whitney Palmer, Talitha Hanks","Anshuvijay Rode","Purdie Distribution","Romance, Comedy","English","Rohit Budhiraja, Sukhmani Gill, Jason Sabey","First Gen Films",,,,"Feb 9 2024, limited",,"1h 28m",,"A former couple is set to inherit a lot of money if they can spend the week together at a remote cabin getaway.","Inheritance to Love","","https://www.rottentomatoes.com/m/inheritance_to_love",,"Jenni James"
,"87","$97.4K","Hend Sabry, Olfa Hamrouni, Eya Chikahoui","Kaouther Ben Hania","Kino Lorber","Documentary, Drama","Arabic","Nadim Cheikhrouha, Habib Attia, Thanassis Karathanos, Martin Hampel","Red Sea Film Festival Foundation, Cinétéléfilms, Twenty Twenty Vision Filmproduktion, Tanit Films, ZDF/Arte, Jour2Fête",,,"Dec 19 2023","Oct 27 2023, limited",,"1h 47m","Dolby Digital","This riveting exploration of rebellion, memory, and sisterhood reconstructs the story of Olfa Hamrouni and her four daughters, unpacking a complex family history through intimate interviews and performance to examine how the Tunisian woman's two eldest were radicalized by Islamic extremists. Casting professional actresses as the missing daughters, along with acclaimed Egyptian-Tunisian actress Hend Sabri as Olfa, award-winning director Kaouther Ben Hania (The Man Who Sold His Skin) restages pivotal moments in the family's life. These scenes are interwoven with confessions and reflections from Olfa and her younger daughters, offering the women agency to tell their own story and capturing moments of joy, loss, violence, and heartache. Winner of four prizes including L'Oeil d'Or (Best Documentary) when it screened in competition at the Cannes Film Festival, Four Daughters is a compelling portrait of five women and a unique and ambitious work of nonfiction cinema that explores the nature of memory, the weight of inherited trauma, and the ties that bind mothers and daughters.","Four Daughters","95","https://www.rottentomatoes.com/m/four_daughters_2023",,"Kaouther Ben Hania"
,"","$7.6K","Ennio Morricone, Giuseppe Tornatore, Carlo Verdone","Giuseppe Tornatore",,"Documentary, Biography","English","Gianni Russo, Gabriele Costa","Potemkino, Fu Works",,,,,,"2h 30m",,"","The Glance of Music","","https://www.rottentomatoes.com/m/the_glance_of_music",,"Giuseppe Tornatore"
,"75","$848.9K","Anthony Hopkins, Matthew Goode, Liv Lisa Fries","Matthew Brown","Sony Pictures Classics","Drama","English","Alan Greisman, Hannah Leader, Tristan Lynch, Rick Nicita, Aoife O'Sullivan, Meg Thomson","Subotica, Last Session Productions","PG-13 (Thematic Material|Sexual Material|Some Bloody/Violent Images|Smoking)",,,"Jan 19 2024, wide",,"2h 2m",,"On the eve of the Second World War, two of the greatest minds on the twentieth century, C.S. LEWIS and SIGMUND FREUD converge for their own personal battle over the existence of God. FREUD'S LAST SESSION interweaves the lives of Freud and Lewis, past, present, and through fantasy, bursting from the confines of Freud's study on a dynamic journey.","Freud's Last Session","44","https://www.rottentomatoes.com/m/freuds_last_session",,"Mark St. Germain, Matthew Brown"
