"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (dvd)","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
"Flat (1.85:1)","68","$578.0K","Rosalie Chiang, Sandra Oh, Ava Morse","Domee Shi","Disney/Pixar","Kids & family, Comedy, Fantasy, Animation","English","Lindsey Collins","Walt Disney Pictures, Pixar Animation Studios","PG (Suggestive Content|Language|Thematic Material)",,"Mar 11 2022","Feb 9 2024, wide",,"1h 40m","Dolby Atmos","In ""Turning Red"", Mei Lee is a confident, dorky thirteen-year-old torn between staying her mother's dutiful daughter and the chaos of adolescence. And as if changes to her interests, relationships, and body weren't enough, whenever she gets too excited (which for a teenager is practically ALWAYS), she ""poofs"" into a giant red panda!","Turning Red","95","https://www.rottentomatoes.com/m/turning_red","Pixar","Julia Cho, Domee Shi"
,"",,"Tobin Bell, Charles Agron, Ed Asner","Don E. Fauntleroy","K Street Pictures","Mystery & thriller","English","Armand Gazarian, Charles Agron","Wake Me LLC",,,,"Feb 16 2024, limited",,"1h 39m",,"Oliver Cook's life shifts when he reconnects with Jack, the old caretaker from his past, at Spring Manor. A bottle of pills marked with alien symbols grants Oliver a miracle drug, bringing wealth and healing, but strains family ties. When his daughter vanishes, Oliver's riches offer no solace. In 'Altered Reality,' he embarks on a journey to solve her mystery, confronting moral dilemmas and the supernatural. This gripping tale explores themes of redemption, family, and the choices we make.","Altered Reality","","https://www.rottentomatoes.com/m/altered_reality",,"Charles Agron"
"Flat (1.85:1)","",,"Seydou Sarr, Moustapha Fall, Issaka Sawagodo","Matteo Garrone","Cohen Media Group","Drama","Wolof","Paolo Del Brocco, Matteo Garrone","Archimede, RAI Cinema, Pathé Films, Tarantula",,,,"Feb 23 2024, limited",,"2h 2m","Dolby Digital","In this acclaimed film which won top directing and acting prizes at the Venice Film Festival, writer-director Garrone presents a ""reverse shot"" of the immigration experience while unfurling an epic, cinematographically magnificent odyssey from West Africa to Italy. The story is told through the mind’s eye and experiences of two Senegalese teenagers living in Dakar who yearn for a brighter future in Europe. Yet between their dreams and reality lies a treacherous journey through a labyrinth of checkpoints, the scorched Saharan desert, a fetid North African prison and the vast waters of the Mediterranean where thousands have died packed inside vessels barely fit for passage.","Io Capitano","100","https://www.rottentomatoes.com/m/io_capitano",,"Matteo Garrone, Massimo Gaudioso, Massimo Ceccherini, Andrea Tagliaferri"
,"",,"Bai Ling, Felissa Rose, Lynn Lowry","Jeff Knite","BayView Entertainment","Action, Horror, Mystery & thriller","English","Jeff Knite",,,,,"Feb 22 2024, limited",,,,"A Copycat Serial Killer goes on a rampage to prove he's even more deadly than the original. The media redubs him The Omicron Killer.","The Omicron Killer","","https://www.rottentomatoes.com/m/the_omicron_killer",,"Jeff Knite, Paugh Shadow"
,"",,"Kimi Takesue, Kimi Takesue, Kimi Takesue","Kimi Takesue",,"Documentary","English","Kimi Takesue","KimiKat Productions",,,"Feb 23 2024","Feb 16 2024, limited",,"1h 12m",,"ONLOOKERS offers a visually striking, immersive meditation on travel and tourism in Laos, reflecting on how we all live as observers. Traversing the country's dusty roads and tranquil rivers, we watch as elaborate painterly tableaus unfold, revealing the whimsical and at times disruptive interweaving of locals and foreigners in rest and play. Drawn to spectacle, tourists swarm to magnificent Buddhist temples, the ordered rituals of monks, and sites of dazzling natural beauty, then recede like a passing tide, leaving Laotians to continue with their daily lives. ONLOOKERS transports viewers on a sensorial journey of deep looking and listening, inviting audiences to reflect on their own modes of tourism, while asking the looming existential questions: Why do we travel? What do we seek?","Onlookers","63","https://www.rottentomatoes.com/m/onlookers",,
,"",,"Bono, The Edge, Adam Clayton","Nenad Cicin-Sain","Fifth Season","War, Documentary","English","Matt Damon, Ben Affleck, Sarah Anthony, Ned O'Hanlon","Pearl Street Films",,,,"Feb 23 2024, limited",,"1h 43m",,"KISS THE FUTURE, directed by Nenad Cicin-Sain, story by Bill Carter and Cicin-Sain, screenplay by Carter, based on his memoir: ""Fools Rush In,"" is the story of defiance amid the 1990s siege of Sarajevo during the Bosnian War. The film focuses on a vibrant underground community who used music and art to effect change and garner global attention by ultimately inspiring an American aid worker to reach out to the world's biggest band U2 to help raise awareness of the devastating conflict. KISS THE FUTURE follows the band's promise to perform a post-war concert that saw U2 play to over 45,000 local fans in a liberated city, a show that lives on as a joyous collective memory for the people of Sarajevo.","Kiss the Future","100","https://www.rottentomatoes.com/m/kiss_the_future",,"Bill S. Carter"
,"",,"Nesta Cooper, Michelle Hurd, Sean Patrick Thomas","Kelley Kali","BET Original Films","Biography, Drama","English","Lana Link, Stacey Parks, Rob Pfaltzgraff","MPI Original Films, BET+",,,"Feb 22 2024","Feb 15 2024, limited",,,,"Based on the true story of Kemba Smith, Kemba follows the journey of a sheltered college student who falls in love with a man, only to find out he isn't who he seems. When Kemba learns of her boyfriend Khalif's true identity as a drug kingpin, he turns abusive--grooming straight-laced Kemba to overlook his illicit dealings. Though she never dealt or handled drugs, in a tragic turn of events, Kemba receives an outrageous sentence for her boyfriend's crimes--placing her in the middle of the government's ""war on drugs."" Never losing hope, her parents along with an attorney with the NAACP Legal Defense Fund launch a campaign for appeal and later clemency, harnessing the power of Black civic organizations, sororities, celebrities, and lawmakers to help free Kemba.","Kemba","","https://www.rottentomatoes.com/m/kemba",,"Christine Swanson"
"Digital 2.39:1","",,"Esther Povitsky, Bobby Lee, Beverly D'Angelo","Nicholaus Goossen","SHOUT! STUDIOS","Comedy","English","Jordan Ellner, Nicholaus Goossen, Robert Schwartzman","Buffalo 8 Productions, All Things Comedy, Utopia Films, Paper Anvil",,,,"Feb 23 2024, limited",,"1h 31m",,"June is a wannabe influencer who's juggling multiple problems: her parents want her to move out, her ex-boyfriend accuses her of stalking him, and two detectives think she may be involved in the robbery of a local pharmacy.","Drugstore June","","https://www.rottentomatoes.com/m/drugstore_june",,"Nicholaus Goossen, Esther Povitsky"
,"60",,"Sundeep Kishan, Kavya Thapar, Vennela Kishore","Vi Anand","AK Entertainments","Fantasy, Mystery & thriller","Telugu","Rajesh Danda, Anil Sunkara","AK Entertainments, Hasya Movies",,,,"Feb 16 2024, limited",,"2h 20m",,"A man needing answers heads to the world of Bhairavakona, from which there's seemingly no way out.","Ooru Peru Bhairavakona","","https://www.rottentomatoes.com/m/ooru_peru_bhairavakona",,"Vi Anand"
,"67",,"Alexander Volkanovski, Ilia Topuria","Unknown Director","Iconic Events","Sports","English",,,,,,"Feb 17 2024, limited",,"3h 0m",,"One of the most dominant champions in the UFC today returns to face another elite contender, as Alexander Volkanovski travels from his home in Australia to defend his featherweight crown against Spain's Ilia Topuria in the main event of UFC 298 at Anaheim's Honda Center on February 17. Unbeaten in 14 fights, Topuria has scored six of those wins in the UFC, and now he will look to become Spain's first world champion when he meets one of the best 145-pounders of all-time, ""Alexander the Great,"" in the Octagon. UFC 298: Volkanovski vs Topuria -- Saturday, February 17 live from Honda Center in Anaheim, California LIVE in theaters!","UFC 298: Volkanovski vs. Topuria","","https://www.rottentomatoes.com/m/ufc_298_volkanovski_vs_topuria",,
,"",,"Vincent René-Lortie, Lasse Lyskjær Noer, Nazrin Choudhury","Vincent René-Lortie, Lasse Lyskjær Noer, Nazrin Choudhury, Misan Harriman, Wes Anderson","ShortsTV","Drama","English",,,,,,"Feb 16 2024, limited",,"1h 20m",,"Since 2006, ShortsTV has proudly brought the Oscar® Nominated Short Films to audiences across the globe. This special release features the year's most spectacular short films and is available to watch on the big screen for a limited time shortly after nominations are announced. Each nominee is released in one of three distinct feature-length compilations according to their category of nomination: Live Action, Animation, or Documentary. The theatrical release of the nominated short films is the world's largest commercial release of short films, delighting audiences and giving filmmakers an unprecedented opportunity to entertain short film fans.","2024 Oscar Nominated Shorts - Live Action","","https://www.rottentomatoes.com/m/2024_oscar_nominated_shorts_live_action",,
,"",,"Allen Leech, Nina Bergman, Yan Tual","Sébastien Drouin","Level 33 Entertainment","Mystery & thriller","English","James Barton-Steel, Julien Loeffler, James Kermack","Trilight Entertainment, Featuristic Films",,,,"Feb 23 2024, limited",,"1h 27m","Dolby Atmos","David Petersen is passing through the Colorado Rockies. After saving a young diner waitress from her violent ex-husband during a break from driving, he hits the road again alone through a dangerous snow blizzard. One false move behind the wheel has him waking up inside a ravine -- in the eye of the storm. But the cold is the least of his worries when a beast starts prowling outside. How will he survive?","Cold Meat","","https://www.rottentomatoes.com/m/cold_meat",,"Sébastien Drouin, Sébastien Drouin, Andrew Desmond, James Kermack"
,"",,"Simi Chahal, Alexander García, Nassar","Nassar, Deepak Thaper, Nasir Zaman, Aaron-Jon North","VH Entertainment","Romance","Punjabi",,"U&I Films, VH Entertainment",,,,"Feb 16 2024, limited",,"2h 30m",,"","Jee Ve Sohneya Jee","","https://www.rottentomatoes.com/m/jee_ve_sohneya_jee",,
,"",,"S. Leo Chiang, Sean Wang, Sheila Nevins","S. Leo Chiang, Sean Wang, Sheila Nevins, John Hoffman, Christine Turner, Kris Bowers, Ben Proudfoot","ShortsTV","Documentary","English",,,,,,"Feb 16 2024, limited",,"1h 20m",,"Since 2006, ShortsTV has proudly brought the Oscar® Nominated Short Films to audiences across the globe. This special release features the year's most spectacular short films and is available to watch on the big screen for a limited time shortly after nominations are announced. Each nominee is released in one of three distinct feature-length compilations according to their category of nomination: Live Action, Animation, or Documentary. The theatrical release of the nominated short films is the world's largest commercial release of short films, delighting audiences and giving filmmakers an unprecedented opportunity to entertain short film fans.","2024 Oscar Nominated Shorts - Documentary","","https://www.rottentomatoes.com/m/2024_oscar_nominated_shorts_documentary",,
,"",,"Ally Maki, Luke Roberts, Chris Pang","Meredith Hama-Brown","Game Theory Films","Drama","English","Tyler Hagan, Sara Blake","Ceroma Films, Hamilton Moving Pictures, Experimental Forest Films",,,,"Feb 23 2024, limited",,"1h 55m",,"Desperate to find a deeper connection in her marriage after the recent death of her mother, Judith, a Japanese Canadian woman, brings her family to a self-development retreat on a remote island. But when they befriend another interracial couple who seem to have the perfect marriage, Judith begins to recognize how irreparably fractured her relationship is. Meanwhile, their two daughters are plunged into a destabilizing world under the constant stress of their parents' crumbling relationship. In the end, the family must collectively face their most unnerving insecurities before they become permanently broken.","Seagrass","100","https://www.rottentomatoes.com/m/seagrass",,"Meredith Hama-Brown"
,"",,"Akilan, Vinod Kumar, Vani Viswanath","Bhanu","TeluguOne","Drama","Telugu","Ravi Shankar Kantamanenie",,,,,"Feb 15 2024, limited",,,,"","Raajadhani Files","","https://www.rottentomatoes.com/m/raajadhani_files",,"Bhanu"
,"",,"Briza Covarrubias, Allee Sutton Hethcoat, Micah Fitzgerald","Jesse Edwards","Blue Fox Entertainment","Western, Action, Drama, Mystery & thriller","English","Jesse Edwards, Joel Edwards","Evolve Studios","PG-13 (Violence|A Sexual Reference|Some Strong Language|Smoking)",,,"Feb 23 2024, limited",,"1h 45m",,"Lupe, a Mexican-Navajo mechanic, seeks her estranged father's help to save her dying mother. Joined by a runaway cowgirl, their journey uncovers family secrets, exploitation, and the fight to reclaim ancestral land. As she discovers her Navajo heritage, Lupe faces a tough choice to rescue her family.","The Stolen Valley","71","https://www.rottentomatoes.com/m/the_stolen_valley",,"Jesse Edwards"
"Scope (2.35:1)","",,"Litlhohonolofatso Litlhakayane, Andrea Sawatzki, Ava Skuratowski","Mara Eibl-Eibesfeldt","Purdie Distribution","Kids & family, Adventure, Mystery & thriller","English","Peter Herrmann","Desert Flower Filmproductions",,,,"Feb 23 2024, limited",,"1h 33m",,"Thabo lives with his uncle, a ranger at a wildlife reserve in Eswatini, Africa, and dreams of being a private detective. When a rhino is killed for its valuable horn, Thabo's uncle falls under suspicion. Thabo and his new friend Emma decide to find the real culprits as they care for the rhino's orphaned calf.","Thabo and the Rhino Case","","https://www.rottentomatoes.com/m/thabo_and_the_rhino_case",,"Mara Eibl-Eibesfeldt, Ursula Gruber, Martin Gypkens"
,"",,"Mauro Conte, Dominika Zeleníková, Antonia Liskova","Gabriele Guidi","VMI Worldwide","Drama, Romance, War","English","Gianluca Curti, Viktor Kristof, Fulvio Orlando","Minerva Pictures",,,,"Feb 23 2024, limited",,"1h 50m",,"A group of musicians imprisoned in the infamous Terezin concentration camp find spiritual liberation through music.","Terezin","","https://www.rottentomatoes.com/m/terezin",,"Gabriele Guidi, Ennio Speranza, Alessandro Zannoni"
,"",,"Priyamani, Yami Gautam, Iravati Harshe","Aditya Suhas Jambhale","Jio Studios","Action, Drama, Mystery & thriller","Hindi","Jyoti Deshpande, Aditya Dhar, Lokesh Dhar","B62 Studios, Jio Studios",,,,"Feb 23 2024, limited",,"2h 2m",,"A young field agent is picked from the Prime Minister's office for a top-secret mission to crack down on terrorism and corruption.","Article 370","","https://www.rottentomatoes.com/m/article_370",,"Aditya Dhar, Arjun Dhawan, Aditya Suhas Jambhale, Monal Thaakar"
,"",,"Ursel Tilk, Kaarel Pogga, Ester Kuntu","Rainer Sarnet","Kino Lorber","Comedy, Action","Estonian","Katrin Kissa",,,,"Mar 19 2024","Feb 23 2024, limited",,"1h 54m",,"USSR-China border, 1973. Rafael, is in the army on guard duty when the border falls under attack from flying Chinese kung fu warriors. Utterly fascinated by the long-haired Chinese hippie black-clad kung fu aces flying around blasting forbidden Black Sabbath music from their portable radio Rafael gets struck by a revelation; he too wants to become a kung fu warrior. Faith leads Rafael to an Orthodox monastery where the black-clad monks do their training but his road to achieving the almighty power of humility required is long, winding and full of kick-ass adventures.","The Invisible Fight","71","https://www.rottentomatoes.com/m/the_invisible_fight",,"Rainer Sarnet"
,"",,"Rachel Noll James, Christopher Clark, Johnny Ferro","Rachel Noll James",,"Drama, Sci-fi","English","Sienna Beckman, Rachel Noll James","Emergence Films",,,,"Feb 23 2024, limited",,"1h 59m",,"A woman who can move between parallel realities loses her husband tragically and must overcome past trauma to travel the multiverse once again and find her way into a reality where he is still alive.","Ingress","","https://www.rottentomatoes.com/m/ingress",,"Rachel Noll James"
"Scope (2.35:1)","",,"Nick Biskupek, Sam Huntsman, Hollie Kennedy","Adrian Langley","Red Hound Entertainment","Horror, Mystery & thriller","English","Adrian Langley, Doug Phillips, James Huntsman",,,,"Feb 29 2024","Feb 23 2024, limited",,"1h 28m",,"""Butchers"" introduced a family of sadistic butchers, living in the backcountry, who see anyone that crosses their path as dead meat. In “Butchers Book Two: Raghorn,” the story continues when a car accident leaves the captors in the hands of brutal cannibals who plan to hack them up for meat.","Butchers Book Two: Raghorn","","https://www.rottentomatoes.com/m/butchers_book_two_raghorn",,"Adrian Langley"
,"",,"David Duchovny, Tom Birchard, Jason Birchard","Michael Fiore","Fiore Media Group","Documentary","English","Michael Fiore",,,,,"Feb 23 2024, limited",,"1h 46m",,"New York City's beloved Ukrainian restaurant Veselka is best known for its borscht and varenyky, but it has become a beacon of hope for Ukraine. As the second-generation owner Tom Birchard reluctantly retires after 54 years, his son Jason faces the pressures of stepping into his father's shoes as the war in Ukraine impacts his family and staff.","Veselka: The Rainbow on the Corner at the Center of the World","","https://www.rottentomatoes.com/m/veselka_the_rainbow_on_the_corner_at_the_center_of_the_world",,"Michael Fiore"
,"61","$41.6K","Frederic Forrest, Teri Garr, Nastassja Kinski","Francis Ford Coppola",,"Musical, Romance, Drama","English","Gray Frederickson, Armyan Bernstein, Fred Roos","Zoetrope Studios","R",,"Sep 1 2011","Aug 17 1981, limited",,"1h 38m","Surround","The romantic encounters of two separated lovers are played out against the backdrop of the Las Vegas Strip.","One From the Heart","51","https://www.rottentomatoes.com/m/one_from_the_heart",,
,"65","$117.7K","Mia McKenna-Bruce, Samuel Bottomley, Lara Peake","Molly Manning Walker","MUBI","Drama","English","Konstantinos Kontovrakis, Emily Leo, Ivana Mackinnon","British Film Institute, Heretic, Film4",,,,"Feb 2 2024, limited",,"1h 38m",,"Three British teenage girls go on a rites-of-passage holiday -- drinking, clubbing and hooking up, in what should be the best summer of their lives.","How to Have Sex","96","https://www.rottentomatoes.com/m/how_to_have_sex",,"Molly Manning Walker, Molly Manning Walker"
,"59","$220.6K","Talia Ryder, Earl Cave, Simon Rex","Sean Price Williams","Utopia","Drama","English","Craig Butta, Alex Coco, Alex Ross Perry","Base 12 Productions, Marathon Films",,,,"Dec 1 2023, limited",,"1h 44m",,"The Sweet East is a picaresque journey through the cities and woods of the Eastern seaboard of the United States undertaken by Lillian, a high school senior from South Carolina who gets her first glimpse of the wider world on a class trip to Washington, D.C. Separated from her schoolmates, she embarks on a fractured fairy tale travelogue into America, where she is granted access to a variety of the strange factions that proliferate the present-day unreality of contemporary life.","The Sweet East","78","https://www.rottentomatoes.com/m/the_sweet_east",,"Nick Pinkerton"
,"","$14.8K","Paul Eyam Nzie Okpokam, Elaine Featherstone, Mike Slye","David Schickele","Kino Lorber","Documentary, Drama, Comedy","English",,,,,"Apr 2 2024","Feb 2 2024, limited",,"1h 13m","Mono","In 1968, Peace Corps veteran David Schickele enlisted his friend Paul Eyam Nzie Okpokam to star in a light-hearted comedy about the adventures of a young Nigerian intellectual in San Francisco. Using a docu-fictional style reminiscent of Cassavetes' Shadows, the film observes the foibles of late 1960s African-American culture with an outsider's incisive eye. The result is a vibrant snapshot of the nation's racial politics, from interracial romance to cross-cultural misunderstandings and countercultural joy. The film morphs into a documentary when the director's voice abruptly intrudes to narrate its star's enraging fate: Okpokam was accused of a crime he did not commit and was thrown in prison before being expelled from the country.","Bushman","100","https://www.rottentomatoes.com/m/bushman",,"David Schickele"
"Flat (1.85:1)","50","$61.9K","Le Phong Vu, Nguyen Thi Truc Quynh, Nguyen Thinh","Pham Thien An","Kino Lorber","Drama","Vietnamese","Jeremy Chua, Tran Van Thi","JK Film, Fasten Films, Potocol, Deuxieme Ligne Films",,,"Mar 19 2024","Jan 19 2024, limited",,"2h 58m","Dolby Digital","Winner of the prestigious Camera d’Or for best first film at this year's Cannes Film Festival, the enthralling Inside the Yellow Cocoon Shell from Vietnamese filmmaker Thien An Pham is a reverie on faith, loss, and nature expressed with uncommon invention and depth. It's a simple tale told with visual complexity: after a car accident claims the life of his sister-in-law and leaves his 5-year-old nephew an orphan, a thirtysomething man named Thien (Le Phong Vu) leaves Saigon for a trip back to his rural hometown. During his meditative, wandering visit, Thien wrestles with his own agnosticism in the face of others' religious beliefs, summons memories of his long-disappeared brother, and reconnects with a former girlfriend who now lives as a nun at a Christian church and school. With its drifting camera, evocative use of natural light, and gratifying perambulatory nature, this is a film with the power to readjust one's perceptions of the world around us.","Inside the Yellow Cocoon Shell","98","https://www.rottentomatoes.com/m/inside_the_yellow_cocoon_shell",,"Pham Thien An"
"Flat (1.85:1)","94","$43.1K","Kamila Urzedowska, Robert Gulaczyk, Mirosław Baka","DK Welchman, Hugh Welchman","Sony Pictures Classics","History, Drama, Animation","Polish","Sean M. Bobbitt, Hugh Welchman","Breakthru Films","R (Full Nudity|Violence Including Rape|Sexuality)",,,"Dec 8 2023, limited",,"1h 54m","Dolby Digital","THE PEASANTS tells the story of Jagna, a young woman determined to forge her own path within the confines of a late 19th century Polish village -- a hotbed of gossip and on-going feuds, held together, rich and poor, by pride in their land, adherence to colorful traditions and a deep-rooted patriarchy. When Jagna finds herself caught between the conflicting desires of the village's richest farmer, his eldest son and other leading men of the community, her resistance puts her on a tragic collision course with the community around her.","The Peasants","58","https://www.rottentomatoes.com/m/the_peasants",,"DK Welchman, Hugh Welchman"
,"88","$49.6K","Sam Spruell, Alfredo Castro, Mariano Llinás","Felipe Gálvez Haberle","MUBI","Crime, Drama","English","Giancarlo Nasi, Thierry Lenouvel, Benjamín Doménech, Santiago Gallelli, Matias Roveda, Stefano Centini, Emily Morgan","Quijote Films, Rei Cine, Snowglobe, Quiddity Films, Sutor Kolonko, Volos Films Ltd., Cine Sud Promotion",,,,"Jan 12 2024, limited",,"1h 37m",,"Chile, 1901. Three horsemen embark on an expedition, tasked with securing a wealthy landowner's vast property. Accompanying a reckless British lieutenant and an American mercenary is mestizo marksman Segundo, who comes to realize their true mission is to violently ""remove"" the indigenous population.","The Settlers","93","https://www.rottentomatoes.com/m/the_settlers_2023",,"Felipe Gálvez Haberle, Antonia Girardi"
"Digital 2.39:1","72","$28.6M","Bryce Dallas Howard, Sam Rockwell, Henry Cavill","Matthew Vaughn","Universal Pictures","Action, Adventure, Comedy, Drama, Mystery & thriller","English","Matthew Vaughn, Adam Bohling, David Reid, Jason Fuchs","Cloudy","PG-13 (Strong Violence and Action|Some Strong Language)",,,"Feb 2 2024, wide",,"2h 19m","Dolby Atmos Dolby Digital","Bryce Dallas Howard (Jurassic World franchise) is Elly Conway, the reclusive author of a series of best-selling espionage novels, whose idea of bliss is a night at home with her computer and her cat, Alfie. But when the plots of Elly's fictional books--which center on secret agent Argylle and his mission to unravel a global spy syndicate--begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by Aidan (Oscar® winner Sam Rockwell), a cat-allergic spy, Elly (carrying Alfie in her backpack) races across the world to stay one step ahead of the killers as the line between Elly's fictional world and her real one begins to blur.","Argylle","33","https://www.rottentomatoes.com/m/argylle",,"Jason Fuchs"
"Digital 2.39:1","92","$54.7M","Jason Statham, Jeremy Irons, Emmy Raver-Lampman","David Ayer","MGM","Action, Mystery & thriller","English","Bill Block, Jason Statham, Chris Long, Kurt Wimmer","Miramax, Cedar Park Studios","R (Pervasive Language|Drug Use|Some Sexual References|Strong Violence Throughout)",,"Jan 30 2024","Jan 12 2024, wide",,"1h 45m",,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".","The Beekeeper","70","https://www.rottentomatoes.com/m/the_beekeeper_2024",,"Kurt Wimmer"
"Scope (2.35:1)","88","$110.1M","Elizabeth Banks, Kumail Nanjiani, Awkwafina","Benjamin Renner","Universal Pictures","Kids & family, Comedy, Adventure, Animation","English","Christopher Meledandri","Chris Meledandri","PG (Mild Rude Humor|Action/Peril)",,"Jan 23 2024","Dec 22 2023, wide",,"1h 23m","Dolby Atmos Dolby Digital","This holiday season, Illumination, creators of the blockbuster Minions, Despicable Me, Sing and The Secret Life of Pets comedies, invites you to take flight into the thrill of the unknown with a funny, feathered family vacation like no other in the action-packed new original comedy, Migration.","Migration","72","https://www.rottentomatoes.com/m/migration_2023",,"Mike White"
"Digital 2.39:1","87","$80.1M","Sydney Sweeney, Glen Powell, Alexandra Shipp","Will Gluck","Columbia Pictures","Romance, Comedy","English","Joe Roth, Jeff Kirschenbaum, Will Gluck","Olive Bridge Entertainment, Fifty-Fifty Films, Roth/Kirschenbaum Films","R (Sexual Content|Language Throughout|Brief Graphic Nudity)",,,"Dec 22 2023, wide",,"1h 43m",,"In the edgy comedy Anyone But You, Bea (Sydney Sweeney) and Ben (Glen Powell) look like the perfect couple, but after an amazing first date something happens that turns their fiery hot attraction ice cold -- until they find themselves unexpectedly thrust together at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","Anyone But You","53","https://www.rottentomatoes.com/m/anyone_but_you_2023",,"Ilana Wolpert, Will Gluck"
"Flat (1.85:1)","97","$4.0M","Aunjanue Ellis-Taylor, Jon Bernthal, Niecy Nash","Ava DuVernay","NEON","Drama","English","Paul Garnes, Ava DuVernay","ARRAY Filmworks","PG-13 (Violence|Smoking|Racism|Language|Some Disturbing Images|Thematic Material)",,,"Jan 19 2024, wide","Jan 19 2024","2h 15m","Dolby Digital","While grappling with tremendous personal tragedy, Isabel sets herself on a path of global investigation and discovery. Despite the colossal scope of her project, she finds beauty and bravery while crafting one of the defining American books of our time.","Origin","83","https://www.rottentomatoes.com/m/origin_2023",,"Ava DuVernay"
"Digital 2.39:1","92","$3.8M","Andrew Scott, Paul Mescal, Jamie Bell","Andrew Haigh","Searchlight Pictures","Romance, Drama, Fantasy","English","Graham Broadbent, Peter Czernin, Sarah Harvey","Blueprint Pictures, Searchlight Pictures, Film4","R (Sexual Content|Language|Some Drug Use)",,"Feb 22 2024","Dec 22 2023, limited",,"1h 45m","Dolby Digital","One night in his near-empty tower block in contemporary London, Adam (Andrew Scott) has a chance encounter with a mysterious neighbor Harry (Paul Mescal), which punctures the rhythm of his everyday life. As a relationship develops between them, Adam is preoccupied with memories of the past and finds himself drawn back to the suburban town where he grew up, and the childhood home where his parents (Claire Foy and Jamie Bell), appear to be living, just as they were on the day they died, 30 years before.","All of Us Strangers","96","https://www.rottentomatoes.com/m/all_of_us_strangers",,"Andrew Haigh"
,"",,"David Duchovny, T.R. Knight, Oakes Fegley","Irving Franco","Nova Vento Entertainment","Drama","English","Michael Kallner, Bennett LeBarre, Nathan Marcus, Asaf Nawi, Ari Daniel Pinchot, Oren Rogovin, Jonathan Rubenstein, Bernie Stern","Randomix Productions, Crystal City Entertainment, Adam 1 Pictures",,,,"Feb 14 2024, limited",,,,"After finding a list of names and addresses, 14-year-old Adam sets out across the country to meet a series of men who could be his father.","Adam the First","","https://www.rottentomatoes.com/m/adam_the_first",,"Irving Franco"
,"",,"Keerthy Suresh, Jayam Ravi, Anthony Bhagyaraj","Anthony Bhagyaraj","Home Movie Makers","Crime, Drama, Mystery & thriller","Tamil",,,,,,"Feb 16 2024, limited",,"2h 34m",,"An ambulance driver turned criminal eagerly awaits his release from prison, but it takes 14 years.","Siren","0","https://www.rottentomatoes.com/m/siren_2024",,
,"",,"Tal Kantor, Jared Hess, Jerusha Hess","Tal Kantor, Jared Hess, Jerusha Hess, Yegane Moghaddam, Stephanie Clement, Dave Mullins","ShortsTV","Animation","English",,,,,,"Feb 16 2024, limited",,"1h 20m",,"Since 2006, ShortsTV has proudly brought the Oscar® Nominated Short Films to audiences across the globe. This special release features the year's most spectacular short films and is available to watch on the big screen for a limited time shortly after nominations are announced. Each nominee is released in one of three distinct feature-length compilations according to their category of nomination: Live Action, Animation, or Documentary. The theatrical release of the nominated short films is the world's largest commercial release of short films, delighting audiences and giving filmmakers an unprecedented opportunity to entertain short film fans.","2024 Oscar Nominated Shorts - Animation","","https://www.rottentomatoes.com/m/2024_oscar_nominated_shorts_animation",,
,"",,"Aisling Franciosi, Stella Gonet, Tom York","Robert Morgan","IFC Films","Horror","English","Alain de la Mata, Christopher Granier-Deferre","Blue Light","R (Some Language|Brief Drug Material|Sexual Material|Gore|Violent/Disturbing Content)",,,"Feb 23 2024, limited",,"1h 33m",,"A talented stop-motion animator becomes consumed by the grotesque world of her horrifying creations -- with deadly results.","Stopmotion","92","https://www.rottentomatoes.com/m/stopmotion",,"Robert Morgan, Robin King"
"Digital 2.39:1","100","$52.9K","Harry Einhorn, Tandin Wangchuk, Deki Lhamo","Pawo Choyning Dorji","Roadside Attractions","Drama","English","Jean-Christophe Simon, Feng Hsu, Stephanie Lai, Pawo Choyning Dorji","Journey to The East Films, Wooden Trailer Productions, An Amandala Production, N8 Studios, Tomson Films, Dangphu Dingphu: A 3 Pigs Production, The Jim Henson Company, Films Boutique, Closer Media, Visions Sud Est, CNC Aide aux cinémas du monde - Institut Français","PG-13",,,"Feb 9 2024, limited",,"1h 47m",,"The Monk And The Gun captures the wonder and disruption as Bhutan becomes one of the world's youngest democracies. Known throughout the world for its extraordinary beauty and its emphasis on Gross National Happiness, the remote Himalayan Kingdom of Bhutan was the last nation to connect to the internet and television. And if that weren't enough change, the King announced shortly afterwards that he would cede his power to the people via their vote and a new form of government: Democracy.","The Monk and the Gun","92","https://www.rottentomatoes.com/m/the_monk_and_the_gun",,"Pawo Choyning Dorji"
