"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"90","$45.4K","Jeanne d'Alcy, Georges Méliès, Victor André","Georges Méliès",,"Adventure, Fantasy, Sci-fi","French (France)","Georges Méliès","Star Films",,"Aug 27 2016","Oct 4 1902, original",,"14m",,"Astronomers go on an expedition to the moon.","A Trip to the Moon","100","https://www.rottentomatoes.com/m/le_voyage_dans_la_lune",,"Georges Méliès"
,"81",,"Lloyd Kaufman, Keith J. Crocker, Fred Vogel","Dan Kinem, Levi Peretic",,"Documentary","English","Levi Peretic, Josh Schafer, Matt Desiderio, Dan M. Kinem","Romark Entertainment, VHShitfest",,"Apr 17 2020",,,"1h 24m",,"Filmmakers profile a select group of cinephiles who still collect and cherish movies on VHS.","Adjust Your Tracking: The Untold Story of the VHS Collector","100","https://www.rottentomatoes.com/m/adjust_your_tracking_the_untold_story_of_the_vhs_collector",,"Dan Kinem, Levi Peretic"
,"83","$121.5K","Preservation Hall Jazz Band, T.G. Herrington, Danny Clinch","T.G. Herrington, Danny Clinch","Blue Fox Entertainment","Documentary, Music","English","Nicelle Herrington, Han Soto","Preservation Hall Films",,"Mar 15 2019","Feb 15 2019, limited",,"1h 24m",,"The leader of New Orleans' famed Preservation Hall Jazz Band seeks to fulfill his late father's dream of retracing their musical roots to the shores of Cuba in search of the indigenous music that gave birth to New Orleans jazz.","A Tuba to Cuba","100","https://www.rottentomatoes.com/m/a_tuba_to_cuba",,"T.G. Herrington"
,"85",,"Song Joong-ki, Park Bo-young, Yoo Yeon-seok","Jo Sung-hee",,"Fantasy, Romance, Sci-fi","Korean","Yun In-Beom","CJ Entertainment",,"May 22 2017",,,"2h 2m",,"Summoned by an unexpected phone call, an elderly woman visits the cottage she used to live in as a child. She remembers the memory of a boy she knew 47 years ago.","A Werewolf Boy","100","https://www.rottentomatoes.com/m/a_werewolf_boy",,"Jo Sung-hee"
,"82",,"Alfred Molina, Ben Moses, Ben Moses","Ben Moses",,"Documentary","English","Ben Moses, Amy Martinez","Appleseed Entertainment",,"Apr 17 2014",,,"1h 34m",,"Filmmaker Ben Moses examines how certain leaders have risen to power and liberated their countries, only to become despots themselves.","A Whisper to a Roar","100","https://www.rottentomatoes.com/m/a_whisper_to_a_roar_2012",,"Ben Moses"
,"83",,"Joan Crawford, Melvyn Douglas, Conrad Veidt","George Cukor","Loew's Inc., Metro-Goldwyn-Mayer","Crime, Drama","English","Victor Saville","Metro Goldwyn Mayer, Loew's Inc.",,"Jun 28 2016","May 23 1941, wide",,"1h 46m",,"Anna Holm (Joan Crawford) is a terribly disfigured Swedish woman and small-time criminal in Stockholm. Her terrible luck and resulting emotional tumult has left her unable to sustain relationships and ultimately pushes her to a life of blackmailing schemes and ennui. A young doctor (Melvyn Douglas) gives her the opportunity to regain some semblance of beauty and, with it, a chance at love. Will she be able to come to terms with her past and embrace a second chance at happiness?","A Woman's Face","100","https://www.rottentomatoes.com/m/1023900-womans_face",,"Francis de Croisset, Donald Ogden Stewart, Elliot Paul"
,"",,"Eunice Lau, Yasu Inoue, Eunice Lau","Eunice Lau","Lion Heart Distribution","Documentary","English","Grace Jung, Eunice Lau","Delphin Films",,"Oct 9 2023",,,"1h 12m",,"This edgy documentary is an illuminating time capsule of the immigrant struggle juxtaposed with cultural trends and socio-economic needs. With unprecedented access, the filmmakers follows the journey of gang leader Eugene Chung, aspiring hip hop artists Harrison ""Vickz"" Kim and Jamy ""Bizzy"" Long as they navigate their destiny in the margins of society to find their dreams. Above all, A-Town Boyz gives a vérité look at the vulnerability of immigrant families in America. It unveils the quiet suffering and untold hardships of a growing number who live beneath the poverty line. Unlike the mainstream media's portrayal of Asian Americans as the ""model minority,"" many Asians like them are bullied in school and neglected by immigrant parents who struggle to make ends meet. As a result, their children face social, cultural and linguistic barriers that make assimilation difficult. Caught between two cultures, they often feel alienated and turn to gangs for kinship, material gain and identity. Filmed over ten years, A-Town Boyz demonstrates the true story behind the ""model minority"" myth and what it means to be American.","A-Town Boyz","100","https://www.rottentomatoes.com/m/a_town_boyz",,"Yasu Inoue, Eunice Lau"
,"",,"Peter Miller, William Hechter, Peter Miller","Peter Miller, William Hechter",,"Documentary, Biography","English","Peter Miller, William Hechter, Sharyn Felder","Clear Lake Historical Productions",,"Jan 17 2017",,,"1h 38m",,"Filmmakers Peter Miller and William Hechter chronicle the life of rock 'n' roll icon Doc Pomus from his childhood battle with polio through his induction into the Rhythm and Blues Hall of Fame.","A.K.A. Doc Pomus","100","https://www.rottentomatoes.com/m/aka_doc_pomus",,
,"",,"Douglas Rushkoff, Deepak Chopra, Nick Bostrom","Ann Shin",,"Documentary","English","Hannah Donegan, Erica Leendertse, Ann Shin, Gerry Flahive","Fathom Film Group",,"Jan 11 2022",,,"1h 20m",,"Can AI enable us to live forever? Filmmaker Ann Shin sets out on a journey, exploring the latest AI and biotech with scientists and visionaries who foresee a 'post-biological' world where humans and AI merge. Will AI be the best, or the last thing we ever do?","A.rtificial I.mmortality","100","https://www.rottentomatoes.com/m/artificial_immortality",,"Erica Leendertse, Ann Shin, Julia Nunes, Julia Nunes"
,"92",,"Catherane Skillen, Bill Lewis, David Willis","Catherane Skillen",,"Drama","English","Kathleen Klein, Catherane Skillen","Live Work Play Productions",,"Jan 1 2022",,,"1h 14m",,"Ava has been with the love of her life for years. An occasional blip like in any life, but overall she is happy and content. Then in one moment a tragic event occurs and she finds herself navigating a world of which she never dreamed.","AVA: A Twist in the Road","100","https://www.rottentomatoes.com/m/ava_a_twist_in_the_road",,"Catherane Skillen"
,"62",,"Tracy Droz Tragos, Sheila Nevins, Tracy Droz Tragos","Tracy Droz Tragos",,"Documentary","English","Tracy Droz Tragos","HBO Documentary Films",,"Apr 23 2017",,,"1h 32m",,"Women struggling with unplanned pregnancies, the providers who care for them, and activists discuss the abortion issue.","Abortion: Stories Women Tell","100","https://www.rottentomatoes.com/m/abortion_stories_women_tell",,
"Flat (1.85:1)","81",,"Joshua M. Lester, Skye LaFontaine, Greg Hirshland","Joshua M. Lester",,"Comedy, Romance","English","Joshua M. Lester, Hunter Marks, Ali Oremus, Thomas Sapin, Kaleb Tholen","Thereafter Films",,"Aug 24 2021",,,"1h 27m",,"A young man's love of pie fuels a series of misadventures in modern romance.","About Pie","100","https://www.rottentomatoes.com/m/about_pie",,"Joshua M. Lester"
"Scope (2.35:1)","",,"Dov Tiefenbach, Tibor Feldman, Kate Eastman","Hanan Harchol",,"Drama","English","Hanan Harchol","Hanan Harchol Productions",,"Apr 17 2020",,,"1h 52m",,"A teacher tries to motivate unresponsive students when he takes a job at a high school in New York City.","About a Teacher","100","https://www.rottentomatoes.com/m/about_a_teacher",,"Hanan Harchol"
,"43","$2.1K","Maribel Verdú, Antonio de la Torre, Priscilla Delgado","Pablo Berger",,"Comedy, Drama, Fantasy","Spanish (Spain)","Ibón Cormenzana, Ignasi Estapé, Jérôme Vidal","Scope Pictures, Arcadia Motion Pictures, Noodles Production, Atresmedia Cine","R (Violent Bloody Images|Sexual References|Language)","Jan 23 2018",,,"1h 36m",,"A housewife has to deal with her husband after he is possessed by a ghost.","Abracadabra","100","https://www.rottentomatoes.com/m/abracadabra",,"Pablo Berger"
,"86",,"Radu Ciorniciuc, Erkko Lyytinen, Monica Lazurean-Gorgan","Radu Ciorniciuc","Zeitgeist Films","Documentary","Romanian","Erkko Lyytinen, Monica Lazurean-Gorgan, Alina David","Corso Film, Manifest Film Co., HBO Romania, HBO Europe, Yle to 1 Finland",,"Mar 15 2021","Jan 15 2021, limited",,"1h 26m",,"A rural Romanian couple and their nine children must learn to live in the big city.","Acasa, My Home","100","https://www.rottentomatoes.com/m/acasa_my_home",,
,"88",,"Franco Citti, Franca Pasut, Silvana Corsini","Pier Paolo Pasolini",,"Drama","Italian","Alfredo Bini",,,"Aug 22 2019","Nov 22 1961, original","Apr 4 1968","2h 0m",,"In the slums of Rome, Vittorio ""Accattone"" Cataldi (Franco Citti) supports himself as a pimp for his longtime girlfriend, Maddalena (Silvana Corsini). When his meal ticket goes to jail after being assaulted by a pack of thugs, Accattone scrambles to survive, reduced to begging for food from his ex-wife, Ascenza (Paola Guidi). When he meets the virginal Stella (Franca Pasut), he sees a way back into his former profession. This is the first film by noted Italian director Pier Paolo Pasolini.","Accattone","100","https://www.rottentomatoes.com/m/accattone",,
,"39",,"Hugh Nini, Neal Treadwell, David Millbern","David Millbern","Here TV","Documentary, History, Lgbtq+","English","William Clift, Paul Colichman, David Millbern",,,"Mar 25 2022","Mar 23 2022, limited",,"57m",,"100 Years of Men in Love: The Accidental Collection is a documentary focusing on a unique, moving, and joy-filled collection of vintage photographs of men in love from the 1850s to the 1950s. Taken when male partnerships were often illegal, the photos were found at flea markets, in shoe boxes, family archives, estate sales, and old suitcases. Directed by Emmy-winning actor-producer David Millbern, and with spoken words from curators Hugh Nini and Neal Treadwell, 100 Years of Men in Love: The Accidental Collection showcases the beauty of everlasting and universal love.","100 Years of Men in Love: The Accidental Collection","100","https://www.rottentomatoes.com/m/100_years_of_men_in_love",,"David Millbern"
,"",,"Nadezhda Tolokonnikova, Mariya Alyokhina, Yekaterina Samutsevich","Yevgeni Mitta",,"Documentary, Music","Russian",,,,"Jan 23 2018",,,"1h 30m",,"Members of the Russian activist group Pussy Riot serve time in jail for their controversial public protests.","Act & Punishment","100","https://www.rottentomatoes.com/m/act_and_punishment",,
,"60",,"W. Kamau Bell","W. Kamau Bell",,"Documentary","English",,,,"May 2 2023",,,"1h 0m",,"Multiracial children and their families share the joys and struggles of growing up mixed in the Bay Area.","1000% Me: Growing Up Mixed","100","https://www.rottentomatoes.com/m/1000_percent_me_growing_up_mixed",,
,"47",,"Damon Gameau, Eva Lazzaro, Paul Hawken","Damon Gameau",,"Documentary, Drama","English","Damon Gameau, Nick Batzias, Virginia Whitwell, Anna Kaplan","GoodThing Productions, Regen Pictures",,"Jun 5 2020",,,"1h 32m",,"Concerned about his young daughter's future, filmmaker Damon Gameau travels the world in search of new approaches and solutions to global warming.","2040","100","https://www.rottentomatoes.com/m/2040",,"Damon Gameau"
,"0",,"Diego Capusotto, Sofía Gala Castiglione, Daniel Aráoz","Nicanor Loreti",,"Action, Comedy","Spanish","Esteban Mentasti, Hori Mentasti, Néstor Sánchez Sotelo","Del Toro Films",,"May 2 2018",,,"1h 22m",,"A hard-drinking detective and a music fan investigate why rock stars seem to die so often by the age of 27.","27: El club de los malditos","100","https://www.rottentomatoes.com/m/27_el_club_de_los_malditos",,
,"85","$26.0K","Lucia McBath, Ron Davis, Michael Dunn","Marc Silver",,"Documentary, Crime, Drama","English","Carolyn Hepburn, Minette Nelson","Candescent Films, Motto Pictures, Participant Media",,"Jan 3 2017",,,"1h 38m",,"Filmmaker Marc Silver uses the shooting death of black teenager Jordan Davis to examine Florida's ""Stand Your Ground"" self-defense law.","3 1/2 Minutes, Ten Bullets","100","https://www.rottentomatoes.com/m/3_and_12_minutes_10_bullets",,"Marc Silver"
,"93","$6.5M","Aamir Khan, Kareena Kapoor, Madhavan","Rajkumar Hirani",,"Comedy","Hindi","Vidhu Vinod Chopra",,"PG-13 (Thematic Material|Some Disturbing Images|Crude Humor)","Nov 29 2016",,,"2h 40m",,"In college, Farhan and Raju form a great bond with Rancho due to his positive and refreshing outlook to life. Years later, a bet gives them a chance to look for their long-lost friend whose existence seems rather elusive.","3 Idiots","100","https://www.rottentomatoes.com/m/3_idiots",,"Rajkumar Hirani, Abhijit Joshi"
,"50",,"Hope Litoff, Hope Litoff, Beth Levison","Hope Litoff",,"Documentary","English","Beth Levison","HBO Documentary Films",,"Nov 19 2017",,,"1h 29m",,"Hope Litoff embarks on an exhaustive investigation to discover why her talented and much-loved sister Ruth committed suicide in 2008.","32 Pills: My Sister's Suicide","100","https://www.rottentomatoes.com/m/32_pills_my_sisters_suicide",,
,"81",,"Daniel Auteuil, Gérard Depardieu, André Dussollier","Olivier Marchal",,"Action, Crime, Drama","French (France)","Cyril Colbeau-Justin, Jean-Baptiste Dupont, Franck Chorot","Gaumont International, TF1 Films Production",,"Feb 19 2015","Nov 24 2004, original",,"1h 45m","Surround","Leo Vrinks and Denis Klein are two cops seeking a promotion, and the competition between them becomes increasingly ruthless as they investigate a string of gang related robberies. Their frustration pushes them into Paris' criminal underworld, threatening to destroy them both.","36","100","https://www.rottentomatoes.com/m/thirty_six_quai_des_orfevres",,
,"89","$130.1K","Maxine McNair, Helen Pegues, Harold McNair","Spike Lee","Direct Cinema Limited","Documentary","English","Samuel D. Pollard","40 Acres & A Mule Filmworks, Home Box Office (HBO)",,"Aug 1 2016","Jul 9 1997, original",,"1h 42m","Dolby Surround","On Sunday, September 15, 1963, the 16th Street Baptist Church in Birmingham, Alabama, was bombed by four members of a Ku Klux Klan-affiliated racist group. Addie Mae Collins, Denise McNair, Carole Robertson and Cynthia Wesley, four African-American girls between the ages of 11 and 14 who had been attending the church's Sunday school, were killed in the blast. Director Spike Lee's somber 1997 documentary tells the story through new interviews and archival footage.","4 Little Girls","100","https://www.rottentomatoes.com/m/4_little_girls",,
,"65",,"Jake Bickelhaupt, Alexa Welsh, Jack C. Newell","Jack C. Newell",,"Documentary, Biography, Drama","English","Jack C. Newell, Declan Ryan",,,"Nov 17 2017",,,"1h 22m",,"Chef Jake Bickelhaupt goes from running an illegal restaurant in his home to being a culinary celebrity in less than a year.","42 Grams","100","https://www.rottentomatoes.com/m/42_grams",,"Jack C. Newell"
,"57",,"Juan Pedro Lanzani, Dady Brieva, Luis Brandoni","Mariano Cohn",,"Drama, Crime, Mystery & thriller","Spanish",,,,"Feb 2 2021",,,"1h 30m",,"When petty thief Ciro (Peter Lanzani) tries to rob an ordinary-looking car, he finds out that his target is actually a high-tech machine - one that's determined to trap him inside unless he can find a way to escape. To make matters worse, someone on the outside is in control of the car, and they seem to have a plan.","4x4","100","https://www.rottentomatoes.com/m/4x4",,"Mariano Cohn, Gastón Duprat"
,"90",,"John Francis Daley, Austin Pendleton, Colleen Camp","Patrick Read Johnson","MVD Entertainment Group","Comedy","English","Gary Kurtz, Fred Roos, Leigh Jones","Filmio",,"Oct 11 2022","Sep 23 2022, limited",,"2h 12m",,"Young, nerdy and alienated, Pat Johnson starts to make movies in his backyard after watching ""2001: A Space Odyssey"" in 1968. His passion for filmmaking grows even more when he becomes one of the first people to see ""Star Wars"" in 1977.","5-25-77","100","https://www.rottentomatoes.com/m/5_25_77",,"Patrick Read Johnson"
,"64",,"Billy Corben, Billy Corben, Alfred Spellman","Billy Corben",,"Documentary","English","Billy Corben, Alfred Spellman",,,"Oct 21 2020",,,,,"","537 Votes","100","https://www.rottentomatoes.com/m/537_votes",,
,"",,"Pamela Yates, Paco De Onis, Melle van Essen","Pamela Yates","Paladin","Documentary","Spanish","Paco De Onis","Skylight",,"Oct 18 2017","Jul 12 2017, limited",,"1h 45m",,"The story of growing resistance in Guatemala's recent history is examined through the standpoint and actions of the indigenous Mayan population.","500 Years","100","https://www.rottentomatoes.com/m/500_years",,
"Flat (1.85:1)","56",,"Stephon Marbury, Chike Ozah, Nina Yang Bongiovi","Chike Ozah",,"Documentary","English","Nina Yang Bongiovi","Forest Whitaker's Significant Productions",,"Apr 6 2020",,,"1h 35m",,"The life and career of former NBA basketball player Stephon Marbury.","A Kid From Coney Island","100","https://www.rottentomatoes.com/m/a_kid_from_coney_island",,
,"47",,"Robert Wagner, Virginia Leith, Joanne Woodward","Gerd Oswald","United Artists","Mystery & thriller, Crime, Drama","English","Robert L. Jacks","Crown Productions",,"Sep 16 2008","Jun 12 1956, original",,"1h 34m",,"Amoral Bud Corliss (Robert Wagner) pursues young heiress Dorie Kingship (Joanne Woodward) in the hopes of getting his hands on the fortune amassed by her father (George Macready). But after Dorie succumbs to Bud's charms and becomes pregnant as a result, he fears she'll be cut off by the family and murders her in a fashion that makes it look as if the poor girl committed suicide. When Bud tries to cozy up with Dorie's grieving sister, Ellen (Virginia Leith), she begins to suspect his intentions.","A Kiss Before Dying","100","https://www.rottentomatoes.com/m/1101255-kiss_before_dying",,"Lawrence Roman"
,"86",,"Jeanne Crain, Linda Darnell, Ann Sothern","Joseph L. Mankiewicz",,"Drama","English","Sol C. Siegel","20th Century Fox",,"Mar 1 2013",,,"1h 43m",,"Deborah Bishop, Lora Mae Hollingsway and Rita Phipps are three friends who all receive letters from another friend, Addie Ross, telling them that she is about to leave town with one of their husbands. Deborah, Lora Mae and Rita have to find out which of their spouses, Brad, Porter and George respectively, have been unfaithful.","A Letter to Three Wives","100","https://www.rottentomatoes.com/m/letter_to_three_wives",,"Joseph L. Mankiewicz, Vera Caspary"
,"77",,"Eva Dahlbeck, Gunnar Björnstrand, Harriet Andersson","Ingmar Bergman",,"Comedy, Drama","Swedish",,"Svensk Filmindustri",,"Nov 20 2018",,,"1h 35m",,"In this early Ingmar Bergman comedy, David (Gunnar Björnstrand), an obstetrician, and Marianne (Eva Dahlbeck), a former model, have begun to drift away from each other after 15 years of marriage. While David has a fling with a patient, Marianne has an affair with an old lover, and it seems as though the pair's relationship may be ending. However, when David and Marianne find themselves stuck on the same train together by coincidence, they begin to reconnect.","A Lesson in Love","100","https://www.rottentomatoes.com/m/lesson_in_love",,"Ingmar Bergman"
,"97",,"Steven Bognar, Julia Reichert, Steven Bognar","Steven Bognar, Julia Reichert",,"Documentary","English","Steven Bognar, Julia Reichert",,,"Nov 18 2020",,,"3h 49m",,"This lauded documentary follows the lives of five young people as they deal with the harsh reality of childhood cancer. Ranging from ages 6 to 19, the kids in the film have their own ways of coping with the disease, often approaching their situations with courage and humor. Also featuring the children's parents, who must contend with the emotional and financial tolls of seeing their kids through treatment, the production presents incredibly difficult battles with a formidable disease.","A Lion in the House","100","https://www.rottentomatoes.com/m/a_lion_in_the_house",,
,"76",,"Brittany Hudson, Raigan Alex, Sophia Nahli Allison","Sophia Nahli Allison",,"Documentary","English","Janice Duncan, Fam Udeorji",,,"Sep 24 2020",,,"19m",,"A reimagined narrative of Latasha Harlins through intimate memories shared by her cousin and best friend.","A Love Song for Latasha","100","https://www.rottentomatoes.com/m/a_love_song_for_latasha",,
,"93",,"François Leterrier, Charles Le Clainche, Maurice Beerblock","Robert Bresson","New Yorker Films","Action","French (Canada)","Alain Poiré, Jean Thuillier","Gaumont, Nouvelle France Productions",,"Mar 17 2017","Aug 26 1957, original",,"1h 42m","Mono","In a film based on the writings of French Resistance fighter and POW André Devigny, Fontaine (François Leterrier) is being held by the Nazis at Fort Montluc. When he gets word that he's scheduled for execution, Fontaine channels his energy into hatching a plan to break out. His plan is interrupted when he is assigned a new roommate. Fontaine grudgingly brings the newcomer in on the escape effort, which involves homespun weapons and an intricate knowledge of the layout of the prison itself.","A Man Escaped","100","https://www.rottentomatoes.com/m/a_man_escaped",,
,"81",,"Yoshie Hayakawa, Shôhei Imamura, Shigeru Tsuyuguchi","Shôhei Imamura",,"Documentary","Japanese","Shôhei Imamura","Art Theatre Guild, Imamura Productions",,"Sep 5 2017",,,"2h 10m",,"A film director searches for answers to a salesman's disappearance.","A Man Vanishes","100","https://www.rottentomatoes.com/m/a-man-vanishes-1967",,
,"69","$1.2K","Nicolas Duvauchelle, Marilyn Lima, Rossy de Palma","Mathias Malzieu",,"Romance, Comedy, Fantasy","French (France)","Grégoire Melin, Sébastien Delloye","Wonder Films, Entre Chien et Loup, Kinology",,"Jan 26 2021",,,"1h 42m",,"A hopeless romantic finds his life in danger when he falls in love with a beautiful mermaid.","A Mermaid in Paris","100","https://www.rottentomatoes.com/m/a_mermaid_in_paris",,"Mathias Malzieu, Stéphane Landowski"
,"73",,"Wandile Molebatsi, Jason Hartman, Masello Motana","Peter Bishai",,"History, Drama","English","Andre Pieterse, Michael Mosca","Clover Leaf Films, Equinoxe Films, Philo Films, Ma-Afrika Films",,"Apr 4 2017",,,"1h 50m",,"Apartheid tests the friendship between actors Norman Knox (Wandile Molebatsi) and Muntu Ndebele.","A Million Colours","100","https://www.rottentomatoes.com/m/a_million_colours",,"Peter Bishai, Andre Pieterse"
,"78","$15.7M","Jennifer Lawrence, Toni Myers, Toni Myers","Toni Myers","Walt Disney","Documentary","English","Toni Myers","IMAX Corporation, Walt Disney Studios","G","Jun 11 2020","Apr 29 2016, limited",,"45m",,"Astronauts aboard the International Space Station capture breathtaking footage of the natural wonders of Earth.","A Beautiful Planet","100","https://www.rottentomatoes.com/m/a_beautiful_planet",,"Toni Myers"
,"73",,"Benjamin L. Newmark, Dylan DeVane, Stuart Maxheimer","Brendan Rudnicki",,"Mystery & thriller, Drama, Horror","English","Brendan Rudnicki","DBS Publishing, DBS Films Orlando",,"Jan 18 2024",,,"1h 15m",,"Following his sister's disappearance, a young man must brave the dark woods, unveiling a chilling mystery and the secrets that lurk beneath.","A Cold Grave","100","https://www.rottentomatoes.com/m/a_cold_grave",,"Brendan Rudnicki, Kellan Rudnicki, Ciara Wojtala"
,"87",,"Sylvia Bataille, Georges D'Arnoux, Jane Marken","Jean Renoir","Joseph Burstyn Inc.","Comedy","French (Canada)","Pierre Braunberger","Pantheon-Production",,"Nov 20 2016","May 8 1946, wide",,"40m","Mono","During a summer afternoon, Parisian merchant Monsieur Dufour (Andre Gabriello) takes his extended family out to the countryside for some rest and relaxation. On their outing, the Dufour party meets two locals at an inn, and the young men offer to take the women boating while the father and his future son-in-law (Paul Temps) go fishing. But, before long, engaged Henriette Dufour (Sylvia Bataille) falls for her guide, Henri (Georges D'Arnoux), and a new romance begins.","A Day in the Country","100","https://www.rottentomatoes.com/m/partie_de_campagne",,"Guy de Maupassant, Jean Renoir"
