"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"67",,"Jerilyn Armstrong, Michael Bonini, Brandon Doyle","Travis Bible",,"Horror","English","Travis Bible, Eric Gibson, Kemerton Hargrove, Frances O'Hanlon","Soup Soup Productions, Gorilla Tree Film Co, Kemerica Entertainment, Hashtag Chad",,"Sep 1 2023",,,"1h 24m",,"Four social media influencers live stream their trip to Devil's Manor, the former home of a satanic cult, but things start to go wrong. As the violence increases, so do the views.","#chadgetstheaxe","100","https://www.rottentomatoes.com/m/chadgetstheaxe_2022",,"Travis Bible, Kemerton Hargrove"
,"",,"Gerardo Olivares, José Díaz, Gerardo Olivares","Gerardo Olivares, José Díaz",,"Documentary","Spanish (Spain)","José María Morales","Wanda Films S.L., Gobierno del Principado de Asturias, Radio Televisión Española, Ministerio de Educación Cultura y Deporte",,"Jul 7 2018",,,"1h 33m",,"Spanish photographer José Díaz spends 100 days living alone on a remote mountain to document the beauty of his surroundings.","100 Days of Solitude","100","https://www.rottentomatoes.com/m/100_days_of_solitude",,"Gerardo Olivares, José Díaz"
,"75",,"Barkhad Abdirahman, Fathia Absie, Faysal Ahmed","Musa Syeed",,"Drama","English","Jamila Wignot","Vilcek Foundation",,"Oct 22 2019","Oct 21 2016, limited",,"1h 22m",,"Trying to outrun his bad luck, a young Muslim refugee in Minneapolis seems like he just might make it, until he crosses paths with a stray dog.","A Stray","100","https://www.rottentomatoes.com/m/a_stray",,"Musa Syeed"
,"71","$18.9K","Michael Riley, Stephen Rappaport, Lou Ferrigno","Arthur Borman",,"Comedy","English","Mark Borman, Richard Raddon","Brookwood Entertainment","R","Jun 1 2010",,,"1h 22m","Stereo","Naive, pretentious film director Clive Walton (Michael Riley) and his producer, Marvin Handleman (Stephen Rappaport), set out to create an epic religious film. Their woefully inept efforts to bring forth a masterpiece form the basis of this mockumentary about the making of the ambitious and ultimately doomed project. Despite the havoc that surrounds them, Clive and Marvin endeavor to complete production, resolutely believing they are following God's plan.","...And God Spoke","100","https://www.rottentomatoes.com/m/and_god_spoke",,
,"89",,"Colin Egglesfield, Gideon Emery, Heidi Johanningmeier","Ravin Gandhi",,"Drama, Mystery & thriller","English","Christopher Jennings, Rhyan LaMarr","Power Law Productions, Red Guerilla Productions",,"Feb 2 2021",,,"1h 30m",,"Haunted by the tragic death of her mother, Rebecca Church (Heidi Johanningmeier, Fox's ""Proven Innocent"") has dedicated her life to the mental health profession. Recently engaged to Gabriel Weeks (Colin Egglesfield, TNT's ""Rizzoli and Isles""), a handsome and successful options trader, Rebecca finally seems happy. But when her fiancé suddenly disappears, leaving behind a chilling photo album with ""Gabriel Was Saved"" on the cover, Rebecca learns he was abducted by a serial killer dubbed ""The Savior,"" who stalks his victims for 100 days before killing them. Rebecca must work with detectives Jack Byers (Yancey Arias, USA's ""Queen of the South"") and Greg Neese (Chris Johnson, ABC's ""Betrayal"") in a race against the clock once she discovers The Savior is a former colleague named Victor Quinn (Gideon Emery, Netflix's ""Scream: The TV Series""), whom she thought had committed suicide.","100 Days to Live","100","https://www.rottentomatoes.com/m/100_days_to_live",,"Ravin Gandhi, Ravin Gandhi"
,"50",,"Sami Outalbali, Zbeida Belhajamor, Diong-Kéba Tacu","Leyla Bouzid",,"Drama, Romance","French","Sandra da Fonseca",,,"Sep 23 2022",,,"1h 43m",,"Ahmed, 18, French of Algerian origin, grew up in the suburbs of Paris. At the university, he meets Farah, a young Tunisian girl, full of energy, who has just arrived in Paris. While discovering a corpus of sensual and erotic Arabic literature he never imagined existed, Ahmed falls deep in love with Farah, and although literally overwhelmed with desire, he will try to resist it.","A Tale of Love and Desire","100","https://www.rottentomatoes.com/m/a_tale_of_love_and_desire",,"Leyla Bouzid"
,"77",,"Maria Ressa, Ramona S. Diaz, Ramona S. Diaz","Ramona S. Diaz","PBS Distribution","Documentary","English","Ramona S. Diaz, Chris Clements, Christopher Clements, Julie Goldman, Carolyn Hepburn, Leah Marino","Cinediaz, TBD Post, Concordia Studio",,"Aug 7 2020","Aug 7 2020, limited",,"1h 50m",,"Journalist Maria Ressa risks her life and freedom as an outspoken critic of Filipino President Rodrigo Duterte's war on drugs.","A Thousand Cuts","100","https://www.rottentomatoes.com/m/a_thousand_cuts_2020",,"Ramona S. Diaz"
,"44",,"Seeta Devi, Himanshu Rai, Charu Roy","Franz Osten",,"Drama",,"Himanshu Rai, Domenico Procacci",,,"May 23 2017",,,"1h 27m",,"Rival kings, both in love with the same woman, hold a fateful game of chance.","A Throw of Dice","100","https://www.rottentomatoes.com/m/throw_of_the_dice",,"Niranjan Pal, Max Jungk"
,"80",,"Chia-bao Chang, Neng Chang, Chih-chen Chen","Hsiao-hsien Hou, Jia-hua Lao, Lai-Yin Yang, Xiao-ming Xu",,"Biography, Drama","Chinese",,"Central Motion Pictures Corporation",,"Jan 28 2017",,,"2h 18m",,"A generational gap widens in a family cut off from its cultural heritage.","A Time to Live, a Time to Die","100","https://www.rottentomatoes.com/m/a_time_to_live_and_a_time_to_die",,"T'ien-wen Chu, Hsiao-hsien Hou"
,"75",,"Carol Black, Joseph Charny, Anthony Fienberg","Trish Adlesic",,"Documentary","English","Susan Margolin",,,"Oct 26 2022",,,"1h 20m",,"On October 27, 2018, a gunman opened fire inside a Pittsburgh synagogue, killing eleven people as they prayed, in what would become the deadliest antisemitic attack in American history. A TREE OF LIFE: THE PITTSBURGH SYNAGOGUE SHOOTING is a deeply personal portrait of the survivors, victims and their family members, who share their harrowing first-hand accounts of the impact of the shooting on the community. The film is rooted in a community in the aftermath of a violent attack, as they work to rebuild and heal. Despite core differences, they come together to determine what justice looks like and how to best move forward while honoring and learning from the past. The film sheds light on the collective trauma suffered by a tight-knit group and brings into sharp focus the hate-based rhetoric that surrounds many of the mass shootings today, threatening the fabric of our society.","A Tree of Life: The Pittsburgh Synagogue Shooting","100","https://www.rottentomatoes.com/m/a_tree_of_life",,"Trish Adlesic"
