"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
,"63","$125.0M","Rachel McAdams, Channing Tatum, Sam Neill","Michael Sucsy","Sony Pictures","Romance, Drama","English","Gary Barber, Roger Birnbaum, Jonathan Glickman, Paul Taublieb","Birnbaum/Barber","PG-13 (Partial Nudity|An Accident Scene|Sexual Content|Some Language)","May 8 2012","Feb 10 2012, wide",,"1h 44m",,"Paige (Rachel McAdams) and Leo (Channing Tatum) are happily married newlyweds, but their idyllic life together suddenly shatters when a car accident leaves her in a coma. When Paige awakes, she has severe memory loss and doesn't know Leo. She also has a confusing relationship with her parents (Sam Neill, Jessica Lange) and still harbors feelings for a former fiance (Scott Speedman). Despite these difficult obstacles, Leo is determined to renew their bond and rebuild their marriage.","The Vow","32","https://www.rottentomatoes.com/m/the_vow_2012",,"Abby Kohn, Marc Silverstein, Jason Katims"
,"50",,"Mia Wasikowska, Radha Mitchell, Ilsa Fogg","Robert Connolly","Amor Media","Kids & family, Drama, Adventure","English","Robert Connolly, James Grandison, Liz Kearney","Arenamedia","PG","Apr 21 2023","Mar 3 2023, limited",,"1h 42m",,"While researching Australia's deteriorating coral reefs, marine biologist Abby receives word of her elderly mother Dora's stroke. As she rushes to her seaside hometown to care for Dora, Abby recalls her childhood years spent living in concert with the ocean, and her mother's efforts to protect the bay from greedy developers and invasive fishermen alike, often to the detriment of their own relationship. Among the coral gardens, Abby befriends a rare fish, the blue groper -- affectionately named Blueback -- a tether to her environmentalism, and the key to reminding Abby and Dora of their love for each another and the vulnerable waters they call home.  Based on Tim Winton's 1997 novella of the same name, Blueback is a complex and emotional film about a mother and daughter's passion for the ocean and each other. Mia Wasikowska, Radha Mitchell, and Eric Bana star in this poignant, visually stunning film that serves as a beautiful reminder of the power within all of us to make a difference.","Blueback","71","https://www.rottentomatoes.com/m/blueback",,"Robert Connolly, Robert Connolly"
"Digital 2.39:1","73","$82.6M","Jason Statham, Jing Wu, Shuya Sophia Cai","Ben Wheatley","Warner Bros. Pictures","Sci-fi, Mystery & thriller, Action, Adventure","English","Lorenzo di Bonaventura, Belle Avery","Warner Bros. Studios Leavesden, Gravity Pictures, Apelles Entertainment, Flagship Entertainment Group, China Media Capital, Maeday Productions","PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images)","Aug 25 2023","Aug 4 2023, wide",,"1h 56m","Dolby Atmos DTS, Dolby Digital, Dolby","Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more! Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" -- where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement!","Meg 2: The Trench","27","https://www.rottentomatoes.com/m/meg_2_the_trench",,"Jon Hoeber, Erich Hoeber, Dean Georgaris"
"Scope (2.35:1)","51","$59.9M","Matt Damon, Angelina Jolie, Alec Baldwin","Robert De Niro","Universal Pictures","Drama, Mystery & thriller","English","Robert De Niro, James G. Robinson, Jane Rosenthal","American Zoetrope, Universal Pictures, Morgan Creek Productions, Tribeca Productions","R (Sexuality|Language|Some Violence)","Feb 12 2014","Dec 22 2006, wide",,"2h 48m","Dolby SRD DTS, SDDS","Discreet, idealistic and intensely loyal, Edward Wilson (Matt Damon) finds that service in the OSS and later as a founding member of the Central Intelligence Agency is the perfect career for a man of his talents. His methods become standard operating procedure for the CIA while he combats his counterparts in the KGB. But, as the country slips deeper into the Cold War, Edward finds that dedication to duty above family has a price.","The Good Shepherd","56","https://www.rottentomatoes.com/m/good_shepherd",,"Eric Roth"
,"84","$85.8M","Brad Pitt, Shia LaBeouf, Logan Lerman","David Ayer","Sony Pictures Entertainment","War, History, Drama","English","Bill Block, David Ayer, Ethan Smith, John Lesher","QED International, Crave Films, Le Grisbi","R (Some Grisly Images|Language Throughout|Strong War Violence)","Feb 4 2016","Oct 17 2014, wide",,"2h 14m",,"In April 1945, the Allies are making their final push in the European theater. A battle-hardened Army sergeant named Don ""Wardaddy"" Collier (Brad Pitt), leading a Sherman tank and a five-man crew, undertakes a deadly mission behind enemy lines. Hopelessly outnumbered, outgunned and saddled with an inexperienced soldier (Logan Lerman) in their midst, Wardaddy and his men face overwhelming odds as they move to strike at the heart of Nazi Germany.","Fury","76","https://www.rottentomatoes.com/m/fury_2015",,"David Ayer"
"Flat (1.85:1)","77","$101.8M","Charlie Hunnam, Diego Klattenhoff, Idris Elba","Guillermo del Toro","Warner Bros. Pictures","Sci-fi, Action, Adventure","English","Thomas Tull, Jon Jashni, Guillermo del Toro, Mary Parent","Legendary Pictures, DDY","PG-13 (Intense Sci-Fi Action/Violence|Brief Language)","Dec 8 2015","Jul 12 2013, wide",,"2h 11m","Dolby Atmos Dolby Digital, SDDS, Datasat","Long ago, legions of monstrous creatures called Kaiju arose from the sea, bringing with them all-consuming war. To fight the Kaiju, mankind developed giant robots called Jaegers, designed to be piloted by two humans locked together in a neural bridge. However, even the Jaegers are not enough to defeat the Kaiju, and humanity is on the verge of defeat. Mankind's last hope now lies with a washed-up ex-pilot (Charlie Hunnam), an untested trainee (Rinko Kikuchi) and an old, obsolete Jaeger.","Pacific Rim","72","https://www.rottentomatoes.com/m/pacific_rim_2013",,"Travis Beacham, Guillermo del Toro"
"Scope (2.35:1)","80","$5.8M","Willem Dafoe, Brooklynn Prince, Bria Vinaite","Sean Baker","A24","Drama","English","Sean Baker, Chris Bergoch, Shih-Ching Tsou, Andrew Duncan, Alex Saks, Kevin Chinoy, Francesca Silvestri","Cinereach, Cre Film, June Pictures, Freestyle Picture Company","R (Language Throughout|Disturbing Behavior|Sexual References|Some Drug Material)","Jan 30 2018","Oct 6 2017, limited",,"1h 55m",,"Set in the shadow of the most magical place on Earth, 6-year-old Moonee and her two best friends forge their own adventures, while Moonee's struggling mom and a kindhearted motel manager protect the kids from the harsh reality that surrounds them.","The Florida Project","96","https://www.rottentomatoes.com/m/the_florida_project",,"Sean Baker, Chris Bergoch"
,"56",,"Olivia Colman, Dakota Johnson, Peter Sarsgaard","Maggie Gyllenhaal","Netflix","Drama","English","Charlie Dorfman, Maggie Gyllenhaal, Osnat Handelsman-Keren, Talia Kleinhendler","Samuel Marshall Productions, Endeavor Content, Pie Films, Faliro House Productions","R (Sexual Content/Nudity|Language)","Dec 31 2021","Dec 31 2021, limited",,"2h 2m","Dolby Digital","Alone on a seaside vacation, Leda becomes consumed with a young mother and daughter as she watches them on the beach. Unnerved by their compelling relationship, (and their raucous and menacing extended family), Leda is overwhelmed by her own memories of the terror, confusion and intensity of early motherhood. An impulsive act shocks Leda into the strange and ominous world of her own mind, where she is forced to face the unconventional choices she made as a young mother and their consequences.","The Lost Daughter","94","https://www.rottentomatoes.com/m/the_lost_daughter",,"Maggie Gyllenhaal"
,"71",,"Dan Levy, Ruth Negga, Luke Evans","Dan Levy","Netflix","Comedy, Drama","English","Kate Fenske, Debra Hayward, Dan Levy, Megan Zehmer","Not A Real Production Company, SISTER","R (Brief Drug Use|Language)","Jan 5 2024","Dec 29 2023, limited",,"1h 40m",,"Marc (Daniel Levy) was content living in the shadow of his larger-than-life husband, Oliver (Luke Evans). But when Oliver unexpectedly dies, Marc's world shatters, sending him and his two best friends, Sophie (Ruth Negga) and Thomas (Himesh Patel), on a soul-searching trip to Paris that reveals some hard truths they each needed to face.","Good Grief","76","https://www.rottentomatoes.com/m/good_grief_2023",,"Dan Levy"
"Flat (1.85:1)","78",,"Tim Blake Nelson, Willie Watson, David Krumholtz","Joel Coen, Ethan Coen","Netflix","Western, Comedy, Drama","English","Joel Coen, Ethan Coen, Megan Ellison, Sue Naegle","Netflix, Annapurna Pictures","R (Some Strong Violence)","Nov 16 2018","Nov 8 2018, limited",,"2h 12m","Dolby Digital","An anthology of six short films that take place in 19th-century post-Civil War era during the settling of the Old West.","The Ballad of Buster Scruggs","89","https://www.rottentomatoes.com/m/the_ballad_of_buster_scruggs",,"Joel Coen, Ethan Coen"
