"aspect ratio","audience score","box office (gross usa)","cast","director","distributor","genre","original language","producer","production co","rating","release date (streaming)","release date (theaters)","rerelease date (theaters)","runtime","sound mix","synopsis","title","tomatometer","url","view the collection","writer"
"35mm","85","$39.6M","Pam Grier, Samuel L. Jackson, Robert Forster","Quentin Tarantino","Miramax Films, Buena Vista International [us]","Crime, Drama, Mystery & thriller","English","Lawrence Bender","Mighty Mighty Afrodite Productions, Miramax Films, Lawrence Bender Productions, A Band Apart","R","Dec 17 2015","Dec 25 1997, original",,"2h 35m","SDDS Dolby Digital, Surround","When flight attendant Jackie Brown (Pam Grier) is busted smuggling money for her arms dealer boss, Ordell Robbie (Samuel L. Jackson), agent Ray Nicolette (Michael Keaton) and detective Mark Dargus (Michael Bowen) want her help to bring down Robbie. Facing jail time for her silence or death for her cooperation, Brown decides instead to double-cross both parties and make off with the smuggled money. Meanwhile, she enlists the help of bondsman Max Cherry (Robert Forster), a man who loves her.","Jackie Brown","88","https://www.rottentomatoes.com/m/jackie_brown",,"Elmore Leonard, Quentin Tarantino"
"Scope (2.35:1)","86","$7.3M","Angelina Jolie, Finn Little, Jon Bernthal","Taylor Sheridan","Warner Bros. Pictures","Action, Mystery & thriller","English","Steven Zaillian, Garrett Basch, Aaron L. Gilbert, Kevin Turen, Taylor Sheridan","BRON Studios, Film Rites, Creative Wealth Media Finance","R (Strong Violence|Language Throughout)","May 14 2021","May 14 2021, wide",,"1h 40m","Dolby Digital","Oscar winner Jolie (""Girl, Interrupted,"" the ""Maleficent"" films) stars as Hannah, a smoke jumper still reeling from the loss of three lives she failed to save from a fire when she comes across a traumatized 12-year-old boy with nowhere else to turn.","Those Who Wish Me Dead","62","https://www.rottentomatoes.com/m/those_who_wish_me_dead",,"Michael Koryta, Charles Leavitt, Taylor Sheridan"
,"79",,"Robert Pattinson, Tom Holland, Sebastian Stan","Antonio Campos",,"Crime, Drama, Mystery & thriller","English","Max Born, Jake Gyllenhaal, Riva Marker, Randall Poster","Nine Stories Productions","R (Sex-Related Content|Language|Graphic Nudity|Violence and Bloody Images)","Sep 16 2020",,,"2h 18m",,"A young man is devoted to protecting his loved ones in a town full of corruption and sinister characters.","The Devil All the Time","65","https://www.rottentomatoes.com/m/the_devil_all_the_time",,"Antonio Campos, Paulo Campos"
,"73",,"Dakota Johnson, Cosmo Jarvis, Nikki Amuka-Bird","Carrie Cracknell",,"Romance, Drama","English","Andrew Lazar, Christina Weiss Lurie","Mad Chance, MRC Film","PG (Some Suggestive References)","Jul 15 2022",,,"1h 49m","Dolby Digital","Living with her snobby family on the brink of bankruptcy, Anne Elliot is a nonconforming woman with modern sensibilities. When Frederick Wentworth--the dashing one she let get away--crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances. Adapted from the Jane Austen novel.","Persuasion","31","https://www.rottentomatoes.com/m/persuasion",,"Alice Victoria Winslow, Ronald Bass"
"Scope (2.35:1)","73","$46.5M","Gal Gadot, Chris Pine, Kristen Wiig","Patty Jenkins","Warner Bros. Pictures","Action, Adventure, Fantasy","English","Charles Roven, Deborah Snyder, Zack Snyder, Patty Jenkins, Gal Gadot, Stephen Jones","The Stone Quarry, Atlas Entertainment, DC Entertainment, DC Comics, Warner Bros.","PG-13 (Violence|Sequences of Action)","Dec 25 2020","Dec 25 2020, wide",,"2h 31m","Dolby Atmos","Diana Prince lives quietly among mortals in the vibrant, sleek 1980s -- an era of excess driven by the pursuit of having it all. Though she's come into her full powers, she maintains a low profile by curating ancient artifacts, and only performing heroic acts incognito. But soon, Diana will have to muster all of her strength, wisdom and courage as she finds herself squaring off against Maxwell Lord and the Cheetah, a villainess who possesses superhuman strength and agility.","Wonder Woman 1984","58","https://www.rottentomatoes.com/m/wonder_woman_1984","DC Universe","Patty Jenkins, Geoff Johns, David Callaham"
"Digital 2.39:1","81","$19.8M","Russell Crowe, Daniel Zovatto, Alex Essoe","Julius Avery","Screen Gems, Sony Pictures Entertainment","Horror, Mystery & thriller","English","Doug Belgrad, Michael Patrick Kaczmarek, Jeff Katz","Jesus & Mary, Ad hoc studios, Screen Gems, Loyola Productions, Sony Pictures, 2.0 Entertainment, Intimacy on Set","R (Sexual References|Language|Some Nudity|Violent Content)","May 2 2023","Apr 14 2023, wide",,"1h 43m","Dolby Atmos Dolby Digital","Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican (Academy Award®-winner Russell Crowe), The Pope's Exorcist follows Amorth as he investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","The Pope's Exorcist","50","https://www.rottentomatoes.com/m/the_popes_exorcist",,"Michael Petroni, Evan Spiliotopoulos, R. Dean McCreary, Chester Hastings"
,"92","$13.7M","Joel Edgerton, Tom Hardy, Nick Nolte","Gavin O'Connor","Lionsgate Films","Action, Drama","English","Gavin O'Connor, Greg O'Connor","Lionsgate, Mimran Schur Pictures","PG-13 (Some Language|Int. Mixed Martial Arts Fight|Thematic Material)","Sep 10 2013","Sep 9 2011, wide",,"2h 19m","SDDS Dolby Digital, DTS","An estranged family finds redemption in the unlikeliest of places: the MMA ring. Tommy (Tom Hardy), an ex-Marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for ""Sparta,"" the biggest MMA tournament ever held. But when Tommy's underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart.","Warrior","84","https://www.rottentomatoes.com/m/1212910-warrior",,"Gavin O'Connor, Anthony Tambakis, Cliff Dorfman"
,"79","$143.5M","Jack Black, Bryan Cranston, Dustin Hoffman","Jennifer Yuh Nelson, Alessandro Carloni","20th Century Fox","Kids & family, Comedy, Adventure, Animation","English","Melissa Cobb","DreamWorks Animation","PG (Some Mild Rude Humor|Martial Arts Action)","Jun 28 2016","Jan 29 2016, wide",,"1h 35m",,"Living large and loving life, Po (Jack Black) realizes that he has a lot to learn if he's going to fulfill the next challenge from his beloved instructor (Dustin Hoffman). After reuniting with his long-lost father (Bryan Cranston), Po must transition from student to teacher and train a group of fun-loving, clumsy pandas to become martial-arts fighters. Together, the kung-fu brethren unite to take on the evil Kai (J.K. Simmons), a supernatural warrior who becomes stronger with each battle.","Kung Fu Panda 3","87","https://www.rottentomatoes.com/m/kung_fu_panda_3","Kung Fu Panda","Jonathan Aibel, Glenn Berger"
,"91",,"Eddie Murphy, Wesley Snipes, Kodi Smit-McPhee","Craig Brewer","Netflix","Biography, Comedy, Drama","English","John Davis, John Fox","Netflix","R (Pervasive Language|Graphic Nudity|Crude Sexual Content)","Oct 25 2019","Oct 4 2019, limited",,"1h 58m",,"Performer Rudy Ray Moore develops an outrageous character named Dolemite, who becomes an underground sensation and star of a kung-fu, anti-establisment film that could make or break Moore.","Dolemite Is My Name","97","https://www.rottentomatoes.com/m/dolemite_is_my_name",,"Scott Alexander, Larry Karaszewski"
,"72",,"Florence Pugh, Tom Burke, Niamh Algar","Sebastián Lelio","Netflix","Mystery & thriller, Drama","English (United Kingdom)","Tessa Ross, Juliette Howell, Ed Guiney, Andrew Lowe","Element Pictures, Screen Ireland, House Productions","R","Nov 16 2022","Nov 2 2022, limited",,"1h 48m","Dolby Digital","The Irish Midlands, 1862 -- a young girl stops eating but remains miraculously alive and well. English nurse Lib Wright is brought to a tiny village to observe eleven-year old Anna O'Donnell. Tourists and pilgrims mass to witness the girl who is said to have survived without food for months. Is the village harboring a saint 'surviving on manna from heaven' or are there more ominous motives at work? A psychological thriller inspired by the 19th century phenomenon of the ""fasting girls"" and adapted from the acclaimed novel by Emma Donoghue (Room).","The Wonder","85","https://www.rottentomatoes.com/m/the_wonder_2022",,"Alice Birch, Sebastián Lelio"
,"35",,"Reese Witherspoon, Ashton Kutcher, Steve Zahn","Aline Brosh McKenna","Netflix","Romance, Comedy","English","Jason Bateman, Aline Brosh McKenna, Michael Costigan, Lauren Levy Neustadter, Reese Witherspoon","Aggregate Films, Lean Machine, Hello Sunshine","PG-13 (Brief Strong Language|Suggestive Material)","Feb 10 2023","Feb 10 2023, limited",,"1h 49m",,"Debbie (Reese Witherspoon) and Peter (Ashton Kutcher) are best friends and total opposites. She craves routine with her son in LA; he thrives on change in NY. When they swap houses and lives for a week they discover what they think they want might not be what they really need.","Your Place or Mine","30","https://www.rottentomatoes.com/m/your_place_or_mine_2023",,"Aline Brosh McKenna"
,"72",,"Ralph Fiennes, Benedict Cumberbatch, Ben Kingsley","Wes Anderson","Netflix","Comedy","English",,,,"Sep 30 2023",,,"17m",,"A well-known Roald Dahl short story about a man who discovers a poisonous snake asleep in his bed.","Poison","93","https://www.rottentomatoes.com/m/poison_2023",,"Wes Anderson"
,"61","$67.3M","Teresa Palmer, Gabriel Bateman, Alexander DiPersia","David F. Sandberg","Warner Bros. Pictures","Horror, Mystery & thriller","English","James Wan, Lawrence Grey, Eric Heisserer","Grey Matter, Atomic Monster","PG-13 (Disturbing Images|Brief Drug Content|Some Thematic Material|Terror Throughout|Violence)","Oct 11 2016","Jul 22 2016, wide",,"1h 17m",,"When Rebecca (Teresa Palmer) left home, she thought that her childhood fears were behind her. As a young girl growing up, she was never really sure of what was real when the lights went out at night. Now, her little brother Martin (Gabriel Bateman) is experiencing the same unexplained and terrifying events that jeopardized her safety and sanity. Holding a mysterious attachment to their mother (Maria Bello), a supernatural entity has returned with a vengeance to torment the entire family.","Lights Out","75","https://www.rottentomatoes.com/m/lights_out_2016",,"Eric Heisserer"
,"39",,"Imogen Poots, Jesse Eisenberg, Eanna Hardwicke","Lorcan Finnegan",,"Mystery & thriller, Sci-fi","English","Brendan McCarthy, John McDonnell","Fantastic Films, PingPongFilm, Frakas Productions",,"Mar 25 2020",,,"1h 37m",,"","Vivarium","73","https://www.rottentomatoes.com/m/vivarium",,"Garret Shanley"
"Scope (2.35:1)","78","$41.2M","Shane West, Mandy Moore, Peter Coyote","Adam Shankman","Warner Bros. Pictures","Romance, Drama","English","Denise Di Novi, Hunt Lowry","DiNovi Pictures, Pandora","PG (Some Sensual Material|Language|Thematic Elements)","Sep 28 2010","Jan 25 2002, wide",,"1h 41m","Dolby SR DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital","Set in North Carolina, ""A Walk To Remember"" follows the rite of passage of a jaded, aimless high school senior (Shane West) who falls in love with a guileless young woman (Mandy Moore) he and his friends once scorned. The two develop a powerful and inspirational relationship in which they discover truths that take most people a lifetime to learn.","A Walk to Remember","29","https://www.rottentomatoes.com/m/walk_to_remember",,"Karen Janszen"
,"85",,"Scarlett Johansson, Adam Driver, Azhy Robertson","Noah Baumbach","Netflix","Drama","English","Noah Baumbach, David Heyman","Heyday Films, Netflix","R (Sexual References|Language Throughout)","Dec 6 2019","Nov 6 2019, limited",,"2h 16m",,"A stage director and his actor wife struggle through a grueling divorce that pushes them to their limits.","Marriage Story","95","https://www.rottentomatoes.com/m/marriage_story_2019",,"Noah Baumbach"
,"91","$91.1M","Benedict Cumberbatch, Keira Knightley, Matthew Goode","Morten Tyldum","Weinstein Co.","History, Drama, Biography, Lgbtq+","English","Nora Grossman, Ido Ostrowsky, Teddy Schwarzman","Black Bear Pictures, Bristol Automotive","PG-13 (Mature Thematic Material|Historical Smoking|Some Sexual References)","Nov 30 2016","Dec 25 2014, wide",,"1h 53m",,"In 1939, newly created British intelligence agency MI6 recruits Cambridge mathematics alumnus Alan Turing (Benedict Cumberbatch) to crack Nazi codes, including Enigma -- which cryptanalysts had thought unbreakable. Turing's team, including Joan Clarke (Keira Knightley), analyze Enigma messages while he builds a machine to decipher them. Turing and team finally succeed and become heroes, but in 1952, the quiet genius encounters disgrace when authorities reveal he is gay and send him to prison.","The Imitation Game","90","https://www.rottentomatoes.com/m/the_imitation_game",,"Graham Moore"
,"60",,"Idina Menzel, Jackie Sandler, Adam Sandler","Sammi Cohen","Netflix","Comedy","English","Tim Herlihy, Elysa Koplovitz Dutton, Leslie Morgenstein, Adam Sandler","Alloy Entertainment, Netflix, Happy Madison Productions","PG-13 (Brief Teen Drinking|Strong Language|Some Crude/Suggestive Material)","Aug 25 2023","Aug 25 2023, limited",,"1h 41m",,"Stacy and Lydia are BFFs who've always dreamed about having epic bat mitzvahs. However, things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage.","You Are So Not Invited to My Bat Mitzvah","91","https://www.rottentomatoes.com/m/you_are_so_not_invited_to_my_bat_mitzvah",,"Alison Peck, Fiona Rosenbloom"
"Flat (1.85:1)","67","$17.6M","Oscar Isaac, Ben Kingsley, Mélanie Laurent","Chris Weitz","Metro-Goldwyn-Mayer","Mystery & thriller, History, Drama","English","Oscar Isaac, Brian Kavanaugh-Jones, Fred Berger, Jason Spire","Automatik Entertainment","PG-13 (Violent Images|Some Language|Disturbing Thematic Content)","Nov 20 2018","Aug 29 2018, wide",,"2h 2m",,"Fifteen years after the end of World War II, a team of top-secret Israeli agents travels to Argentina to track down Adolf Eichmann, the Nazi officer who masterminded the transportation logistics that brought millions of innocent Jews to their deaths in concentration camps. Hoping to sneak him out of the country to stand trial, agent Peter Malkin soon finds himself playing a deadly game of cat and mouse with the notorious war criminal.","Operation Finale","61","https://www.rottentomatoes.com/m/operation_finale",,"Matthew Orton"
,"66","$143.7M","Meryl Streep, Pierce Brosnan, Colin Firth","Phyllida Lloyd","Universal Pictures","Musical, Comedy","English","Judy Craymer, Gary Goetzman","Playtone Productions, Littlestar","PG-13 (Sex-Related Comments)","Jan 2 2014","Jul 18 2008, wide",,"1h 49m",,"Donna (Meryl Streep), an independent hotelier in the Greek islands, is preparing for her daughter's wedding with the help of two old friends. Meanwhile Sophie, the spirited bride, has a plan. She secretly invites three men from her mother's past in hope of meeting her real father and having him escort her down the aisle on her big day.","Mamma Mia!","55","https://www.rottentomatoes.com/m/mamma_mia",,"Catherine Johnson"
"Scope (2.35:1)","87","$10.1M","Bert Kreischer, Mark Hamill, Jimmy Tatro","Peter Atencio","Screen Gems","Comedy, Action","English","Bert Kreischer, LeeAnn Kreischer, Judi Marmel, Cale Boyter, Peter Atencio","Legendary Entertainment, Shaken Not Stirred, Screen Gems, Balkanic Media","R (Pervasive Language|Drug Use|Some Sexual References|Strong Violence)","Jun 20 2023","May 26 2023, wide",,"1h 52m","Dolby Atmos","Bert Kreischer rose to fame as a stand-up comedian known as The Machine, and in his signature set he recounts his true experience with Russian mobsters while on a booze-soaked college trip. Now, 23 years later, that trip has come back to haunt him as he and his estranged father (Mark Hamill) are kidnapped back to Russia by the mob to atone for something they say he did. Together, Bert and his father must retrace the steps of his younger self (Jimmy Tatro) in the midst of a war within a sociopathic crime family, all while attempting to find common ground in their often fraught relationship.","The Machine","32","https://www.rottentomatoes.com/m/the_machine_2023",,"Kevin Biegel, Scotty Landes"
,"53",,"Ellie Kemper, Luke Grimes, Gus Birney","Vicky Wight","Netflix","Romance, Comedy, Drama","English","Geoff Linville, Berry Meyerowitz, Vicky Wight","Cranetown Media, Synthetic Cinema International",,"Jul 27 2023","Jul 21 2023, limited",,"1h 43m",,"Helen has always lived her life as far from the edge as possible. Newly divorced, she joins a quirky group of strangers on a survival course for the ""Adventure of a Lifetime"" with the hope of learning how to live — and love — again.","Happiness for Beginners","33","https://www.rottentomatoes.com/m/happiness_for_beginners",,"Vicky Wight"
,"32",,"Madalina Diana Ghenea, Ed Westwick, Macarena Gómez","Marcus Adams","Gravitas Ventures","Action, Mystery & thriller","English (United Kingdom)","Marc Bikindou, Engelbert Grech, Sean O'Kelly","Media Finance Capital, Fred Films, Ashland Hill Media Finance, Brilliant Pictures",,"Nov 3 2023",,,"1h 29m",,"Set in the Caribbean, Deep Fear is an intense and visceral survival thriller with furious action throughout. Madalina Ghenea stars as Naomi, an accomplished round-the-world yachtswoman, who sets out on a solo trip to meet her boyfriend, Jackson -- played by Ed Westwick -- in Grenada. Her tranquil three-day sail aboard 47-foot yacht 'The Serenity' takes an unexpectedly dark turn when a storm forces her off the plotted course. Circumnavigating an uninhabited reef-fringed island, she responds to a distress signal to aid a sinking vessel where she finds survivors clinging to the shattered remains of a boat. Events soon take a malevolent twist when it transpires the survivors are savage drug traffickers; Jose, played by Stany Coppet, Maria, played by Macarena Gomez and Tomas, played by John-Paul Pace, who force Naomi to dive down into the hull of the sunken wreck to retrieve 350 kilos of cocaine. The plan is thwarted when Naomi finds herself surrounded by a frenzy of great white sharks -- lured by the dead bodies in the wreck. In a tense and deadly undersea attack, Naomi must use her wits, skills and determination to survive both the narcos and one of nature's most awesome apex predators.","Deep Fear","","https://www.rottentomatoes.com/m/deep_fear_2023",,"Robert Capelli Jr., Sophia Eptamenitis"
"Scope (2.35:1)","36",,"Rosamund Pike, Peter Dinklage, Eiza González","J Blakeson",,"Comedy, Mystery & thriller","English","J Blakeson, Michael Heimler, Teddy Schwarzman, Ben Stillman","Black Bear Pictures, Crimple Beck","R (Some Violence|Language Throughout)","Feb 19 2021",,,"1h 58m",,"Poised with sharklike self-assurance, Marla Grayson (Academy Award nominee Rosamund Pike) is a professional, court-appointed guardian for dozens of elderly wards whose assets she seizes and cunningly bilks through dubious but legal means. It's a well-oiled racket that Marla and her business-partner and lover Fran (Eiza González) use with brutal efficiency on their latest ""cherry,"" Jennifer Peterson (two-time Academy Award winner Dianne Wiest) -- a wealthy retiree with no living heirs or family. But when their mark turns out to have an equally shady secret of her own and connections to a volatile gangster (Golden Globe winner Peter Dinklage), Marla is forced to level up in a game only predators can play -- one that's neither fair, nor square.","I Care a Lot","78","https://www.rottentomatoes.com/m/i_care_a_lot",,"J Blakeson"
,"84","$19.0M","Naomi Watts, Ewan McGregor, Tom Holland","J. A. Bayona","Summit Entertainment","Drama, Adventure","English","Belén Atienza, Álvaro Augustin, Ghislain Barrois, Enrique López Lavigne","Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Mediaset España, Institut Valencià de Cinematografia, Telecinco Cinema, VS Service, Apaches Entertainment, Summit Entertainment, Canal+ España","PG-13 (Disturbing Injury Images|Brief Nudity|Intense Realistic Disaster Seq)","Apr 7 2015","Dec 21 2012, limited",,"1h 54m",,"In December 2004, close-knit family Maria (Naomi Watts), Henry (Ewan McGregor) and their three sons begin their winter vacation in Thailand. But the day after Christmas, the idyllic holiday turns into an incomprehensible nightmare when a terrifying roar rises from the depths of the sea, followed by a wall of black water that devours everything in its path. Though Maria and her family face their darkest hour, unexpected displays of kindness and courage ameliorate their terror.","The Impossible","82","https://www.rottentomatoes.com/m/the_impossible_2012",,"Sergio G. Sánchez"
,"76",,"Kevin Costner, Woody Harrelson, Kathy Bates","John Lee Hancock","Netflix","Crime, Drama","English","Casey Silver","Netflix, Casey Silver Productions, Universal Pictures, Media Rights Capital","R (Bloody Images|Some Strong Violence)","Mar 30 2019","Mar 29 2019, limited",,"2h 12m",,"Former Texas Rangers Frank Hamer and Maney Gault join forces to try and capture notorious outlaws Bonnie Parker and Clyde Barrow.","The Highwaymen","58","https://www.rottentomatoes.com/m/the_highwaymen",,"John Fusco"
,"52",,"Sam Worthington, Lily Rabe, Stephen Tobolowsky","Brad Anderson",,"Mystery & thriller","English","Neal Edelstein, Mike Macari, Paul Schiff","Macari/Edelstein, Koji Productions, Paul Schiff Productions",,"Oct 11 2019",,,"1h 40m",,"After his wife and injured daughter disappear from the emergency room, a man becomes convinced the hospital is hiding something.","Fractured","59","https://www.rottentomatoes.com/m/fractured",,"Alan B. McElroy"
"Scope (2.35:1)","87","$17.7M","Awkwafina, Tzi Ma, Diana Lin","Lulu Wang","A24","Comedy, Drama","English","Chris Weitz, Andrew Miano, Peter Saraf, Marc Turtletaub, Anita Gou, Daniele Tate Melia, Jane Zheng, Dani Melia","Ray Production, Kindred Spirit, Big Beach","PG (Some Smoking|Brief Language|Thematic Material)","Aug 27 2019","Aug 2 2019, wide",,"1h 40m",,"Billi's family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch -- the only person that doesn't know she only has a few weeks to live.","The Farewell","97","https://www.rottentomatoes.com/m/the_farewell_2019",,"Lulu Wang"
,"36",,"Ana de Armas, Adrien Brody, Bobby Cannavale","Andrew Dominik","Netflix","Biography, Drama","English","Dede Gardner, Jeremy Kleiner, Tracey Landon, Brad Pitt, Scott Robertson","Plan B Entertainment","NC-17 (Some Sexual Content)","Sep 28 2022","Sep 16 2022, limited",,"2h 46m",,"Based on the bestselling novel by Joyce Carol Oates, Blonde boldly reimagines the life of one of Hollywood's most enduring icons, Marilyn Monroe. From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, Blonde blurs the lines of fact and fiction to explore the widening split between her public and private selves.","Blonde","42","https://www.rottentomatoes.com/m/blonde",,"Andrew Dominik"
"Scope (2.35:1)","63","$47.0M","Radha Mitchell, Laurie Holden, Sean Bean","Christophe Gans","Sony Pictures Entertainment","Horror, Mystery & thriller","English","Don Carmody, Samuel Hadida","TriStar Pictures, Davis Films","R (Some Language|Disturbing Images|Strong Horror Violence/Gore)","Apr 16 2012","Apr 21 2006, wide",,"1h 59m","Dolby SRD DTS, SDDS","Unable to accept the fact that her daughter is dying, Rose (Radha Mitchell) decides to take the girl to a faith healer. On the way, the pair drive through a portal in reality, leading to an eerie town called Silent Hill. The town is surrounded by a potent darkness, and the human survivors fight a losing battle against it.","Silent Hill","33","https://www.rottentomatoes.com/m/silent_hill",,"Roger Avary, Nicolas Boukhrief, Christophe Gans, Roger Roberts"
"Flat (1.85:1)","49","$336.0M","Sandra Bullock, Jon Hamm, Michael Keaton","Pierre Coffin, Kyle Balda","Universal Pictures","Kids & family, Comedy, Adventure, Animation","English","Christopher Meledandri, Janet Healy","Illumination Entertainment, Illumination Mac Guff","PG (Rude Humor|Action)","Aug 10 2016","Jul 10 2015, wide",,"1h 31m","Dolby Atmos Datasat","Evolving from single-celled yellow organisms at the dawn of time, Minions live to serve, but find themselves working for a continual series of unsuccessful masters, from T. Rex to Napoleon. Without a master to grovel for, the Minions fall into a deep depression. But one minion, Kevin, has a plan; accompanied by his pals Stuart and Bob, Kevin sets forth to find a new evil boss for his brethren to follow. Their search leads them to Scarlet Overkill, the world's first-ever super-villainess.","Minions","56","https://www.rottentomatoes.com/m/minions","Despicable Me","Brian Lynch"
,"68",,"Alexander Scheer, Robert Maaser, Roy McCrerey","Peter Thorwarth","Netflix","Action, Drama, War, Western","German","Christian Becker, Amara Palacios","Rat Pack Filmproduktion",,"May 26 2023",,,"1h 40m",,"At the bitter end of World War II, a German deserter and a young woman are drawn into bloody battle with a group of Nazis hunting for hidden gold.","Blood & Gold","85","https://www.rottentomatoes.com/m/blood_and_gold",,"Stefan Barth"
,"87","$125.1M","Mark Wahlberg, Taylor Kitsch, Eric Bana","Peter Berg","Universal Studios","War, Drama","English","Peter Berg, Sarah Aubrey, Randall Emmett, Norton Herrick, Barry Spikings, Akiva Goldsman, Mark Wahlberg, Stephen Levinson, Vitaly Grigoriants","Envision Entertainment, Single Berry, Closest to the Hole, Spikings Entertainment, Leverage, Film 44, Emmett/Furla Films, Herrick Entertainment","R (Strong Bloody War Violence|Pervasive Language)","Sep 23 2014","Jan 10 2014, wide",,"2h 1m","Datasat SDDS, Dolby Digital","In 2005 Afghanistan, Navy SEALs Marcus Luttrell (Mark Wahlberg), Michael Murphy (Taylor Kitsch), Danny Dietz (Emile Hirsch) and Matthew ""Axe"" Axelson (Ben Foster) deploy on a mission of surveillance and to take out Taliban leader Ahmad Shah. Though spotted by goatherds, Luttrell and his team decide not to kill them. But one of the Afghans alerts a group of Taliban fighters to the invaders, and a terrible battle ensues, in which the SEALs find themselves hopelessly outnumbered and outgunned.","Lone Survivor","75","https://www.rottentomatoes.com/m/lone_survivor",,"Peter Berg"
,"29",,"J.C. Lin, Vera Yen, Summer Meng","Lester Hsi",,"Horror, Mystery & thriller","Chinese","Keng-Ming Chang, Chi Hsiang Chuang, Po-Hsiang Hao","Double Edge Entertainment, Pegasus Entertainment, Lots Home Entertainment",,"Aug 28 2020",,,"1h 28m",,"Terror strikes when university students test an urban legend about a female ghost that haunts a campus bridge.","The Bridge Curse","","https://www.rottentomatoes.com/m/the_bridge_curse",,"Keng-Ming Chang"
"Scope (2.35:1)","91",,"Cleavon Little, Gene Wilder, Madeline Kahn","Mel Brooks","Warner Bros. Pictures","Comedy, Western","English","Michael Hertzberg","Warner Brothers, Crossbow Productions","R","Oct 2 2013","Feb 7 1974, wide",,"1h 33m",,"In this satirical take on Westerns, crafty railroad worker Bart (Cleavon Little) becomes the first black sheriff of Rock Ridge, a frontier town about to be destroyed in order to make way for a new railroad. Initially, the people of Rock Ridge harbor a racial bias toward their new leader. However, they warm to him after realizing that Bart and his perpetually drunk gunfighter friend (Gene Wilder) are the only defense against a wave of thugs sent to rid the town of its population.","Blazing Saddles","89","https://www.rottentomatoes.com/m/blazing_saddles",,"Andrew Bergman, Andrew Bergman, Mel Brooks, Richard Pryor, Norman Steinberg, Alan Uger"
,"78","$1.4M","Andrew Garfield, Michael Shannon, Laura Dern","Ramin Bahrani","Broad Green Pictures","Drama","English","Ashok Amritraj, Ramin Bahrani, Kevin Turen, Justin Nappi","Hyde Park Entertainment, Noruz Films, Broad Green Pictures, Treehouse Pictures","R (Language|A Brief Violent Image|Some Sexual References)","Feb 9 2016","Oct 9 2015, wide",,"1h 50m","Dolby Digital","A desperate construction worker (Andrew Garfield) reluctantly accepts a job with the ruthless real-estate broker (Michael Shannon) who evicted him and his family from their home.","99 Homes","92","https://www.rottentomatoes.com/m/99_homes",,"Ramin Bahrani, Amir Naderi"
,"30",,"Chris Hemsworth, Miles Teller, Jurnee Smollett","Joseph Kosinski",,"Sci-fi, Action, Crime, Drama","English","Eric Newman, Chris Hemsworth, Rhett Reese, Paul Wernick, Agnes Chu, Geneva Wasserman, Tommy Harper, Jeremy Steckler","The Rebel Fleet, Screen Arcade, Conde Nast Entertainment, Reese Wernick Productions, Grand Electric, The New Yorker","R (Language|Violent Content|Sexual Content)","Jun 17 2022",,,"1h 47m","Dolby Digital Dolby Atmos","In a state-of-the-art penitentiary run by brilliant visionary Steve Abnesti (Chris Hemsworth), inmates wear a surgically attached device that administers dosages of mind-altering drugs in exchange for commuted sentences. There are no bars, no cells, or orange jumpsuits. In Spiderhead, incarcerated volunteers are free to be themselves. Until they're not. At times, they're a better version. Need to lighten up? There's a drug for that. At a loss for words? There's a drug for that, too. But when two subjects, Jeff (Miles Teller) and Lizzy (Jurnee Smollett), form a connection, their path to redemption take a twistier turn, as Abnesti's experiments start to push the limits of free will altogether.","Spiderhead","39","https://www.rottentomatoes.com/m/spiderhead",,"Rhett Reese, Paul Wernick"
,"85","$145.0M","Liam Neeson, Maggie Grace, Famke Janssen","Pierre Morel","20th Century Fox","Action, Mystery & thriller","English","Luc Besson","All Pictures Media, Grive Productions, EuropaCorp, Twentieth Century Fox, M6 Films Production, Seaside Film Taken","PG-13 (Intense Sequences of Violence|Disturbing Thematic Material|Language|Sexual Content|Some Drug References)","Jun 17 2013","Jan 30 2009, wide",,"1h 31m","Dolby Digital DTS","Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his worst fears become real when sex slavers abduct Kim and her friend shortly after they arrive in Paris for vacation. With just four days until Kim will be auctioned off, Bryan must call on every skill he learned in black ops to rescue her.","Taken","60","https://www.rottentomatoes.com/m/taken",,"Luc Besson, Robert Mark Kamen"
